GMID,Name,School,Year,Grade,PerRimABlkd,Per2PJABlkd,Per3PABlkd,PerRimMissesRbded,Per2PJMissesRbded,Per3PMissesRbded,PerS2APB,PerL2PAPB,PerPBDunked
14659,Marcus Lee,Alabama A&M ,2009,Fr,18.52%,0.00%,0.00%,21.43%,16.67%,14.29%,0.00%,0.00%,NA
14662,Reggie Porter,Alabama A&M ,2009,Jr,16.67%,20.00%,0.00%,66.67%,44.44%,28.57%,0.00%,0.00%,NA
14657,Khiry White,Alabama A&M ,2009,RS-Fr,NA,NA,NA,NA,NA,NA,NA,NA,NA
14645,Adam Young,Alabama A&M ,2009,Fr,16.36%,13.33%,0.00%,44.44%,34.29%,28.57%,14.55%,8.89%,0.00%
14725,Stephawn Brown,Alabama State,2009,Fr,0.00%,0.00%,0.00%,NA,0.00%,50.00%,0.00%,0.00%,NA
14726,Tramaine Butler,Alabama State,2009,RS-Jr,17.70%,20.00%,0.00%,50.91%,47.73%,29.69%,8.85%,4.62%,0.00%
14714,Chris Duncan,Alabama State,2009,Jr,9.38%,7.81%,0.00%,40.00%,28.57%,37.14%,14.06%,3.13%,0.00%
14719,Jevon Freeman,Alabama State,2009,Jr,50.00%,NA,NA,50.00%,NA,NA,0.00%,NA,NA
14720,Jordan Jefferson,Alabama State,2009,RS-Fr,0.00%,0.00%,NA,100.00%,0.00%,NA,0.00%,0.00%,NA
14715,Derrick Johnson,Alabama State,2009,So,0.00%,0.00%,NA,NA,0.00%,NA,0.00%,0.00%,NA
14718,Jeffery Middlebrooks,Alabama State,2009,So,16.67%,16.67%,0.00%,16.67%,75.00%,27.78%,0.00%,0.00%,NA
14724,Sekari Milligen,Alabama State,2009,So,20.00%,5.26%,1.18%,33.33%,23.08%,44.26%,13.33%,0.00%,0.00%
14727,Tramyne Moorer,Alabama State,2009,Jr,5.43%,12.50%,0.00%,35.19%,37.29%,18.18%,12.40%,1.04%,11.76%
14717,Jadarren Mumpfield,Alabama State,2009,Jr,50.00%,0.00%,0.00%,0.00%,NA,75.00%,0.00%,0.00%,NA
14721,Menji Mundadi,Alabama State,2009,Sr,4.41%,4.65%,0.43%,60.61%,27.27%,39.29%,4.41%,4.65%,0.00%
14722,Robert Sanders,Alabama State,2009,Jr,10.00%,5.13%,0.00%,55.56%,30.00%,18.18%,15.00%,0.00%,0.00%
14712,A.J. Spencer,Alabama State,2009,Jr,5.00%,4.00%,0.00%,28.57%,52.63%,28.57%,0.00%,0.00%,NA
14407,Byron Walker,Alabama State,2009,Sr,7.79%,8.57%,0.00%,46.43%,24.66%,0.00%,9.09%,0.95%,0.00%
14723,Ryan Watts,Alabama State,2009,Fr,33.33%,0.00%,0.00%,100.00%,60.00%,33.33%,0.00%,0.00%,NA
14716,Ivory White,Alabama State,2009,So,11.11%,15.38%,0.00%,50.00%,33.33%,22.73%,22.22%,7.69%,0.00%
5496,Anthony Brock,Alabama,2009,Sr,31.58%,18.75%,1.74%,57.69%,33.33%,33.78%,0.00%,0.00%,0.00%
5502,Greg Cage,Alabama,2009,Sr,33.33%,0.00%,25.00%,0.00%,0.00%,75.00%,33.33%,0.00%,0.00%
5498,Charvez Davis,Alabama,2009,Jr,0.00%,8.00%,2.26%,25.00%,30.00%,26.58%,8.33%,0.00%,0.00%
44725,Chris Dixon,Alabama,2009,Fr,0.00%,0.00%,NA,0.00%,0.00%,NA,0.00%,0.00%,NA
5497,Ben Eblen,Alabama,2009,Fr,0.00%,25.00%,16.67%,66.67%,20.00%,60.00%,16.67%,12.50%,0.00%
2187,JaMychal Green,Alabama,2009,So,15.23%,12.28%,0.00%,45.90%,35.35%,0.00%,19.21%,8.19%,11.63%
2356,Senario Hillman,Alabama,2009,Jr,17.95%,4.67%,0.00%,44.44%,36.00%,42.86%,7.69%,2.80%,0.00%
5499,Chris Hines,Alabama,2009,Jr,6.00%,8.70%,0.00%,62.50%,30.30%,0.00%,24.00%,13.04%,0.00%
5503,Justin Knox,Alabama,2009,Jr,13.21%,5.83%,0.00%,25.00%,37.50%,NA,22.64%,11.65%,4.17%
5504,Justin Luquire,Alabama,2009,Sr,NA,0.00%,NA,NA,100.00%,NA,NA,0.00%,NA
5506,Tony Mitchell,Alabama,2009,Fr,3.00%,5.33%,0.00%,57.69%,33.33%,26.19%,22.00%,17.33%,17.14%
5495,Andrew Steele,Alabama,2009,RS-So,0.00%,25.00%,0.00%,0.00%,66.67%,0.00%,0.00%,75.00%,0.00%
5505,Mikhail Torrance,Alabama,2009,Sr,7.56%,0.84%,1.83%,35.29%,46.03%,31.43%,1.68%,1.68%,0.00%
17582,Billy Allen,Albany,2009,So,18.18%,11.11%,5.63%,25.00%,25.00%,30.61%,18.18%,0.00%,0.00%
17596,Tim Ambrose,Albany,2009,Jr,7.95%,12.85%,0.00%,41.38%,34.19%,36.54%,9.09%,4.47%,0.00%
17590,Logan Aronhalt,Albany,2009,Fr,8.33%,9.26%,3.51%,50.00%,50.00%,41.03%,4.17%,7.41%,0.00%
17591,Louis Barraza,Albany,2009,Jr,NA,NA,0.00%,NA,NA,0.00%,NA,NA,NA
17593,Mike Black,Albany,2009,Fr,13.46%,11.63%,1.32%,53.57%,38.71%,51.16%,3.85%,0.00%,0.00%
17584,Brett Gifford,Albany,2009,Sr,4.76%,10.00%,0.00%,20.00%,7.41%,0.00%,14.29%,5.00%,0.00%
4414,Will Harris,Albany,2009,Sr,8.97%,6.86%,1.69%,43.33%,30.00%,30.99%,11.54%,5.88%,0.00%
17592,Mike Johnson,Albany,2009,Sr,10.71%,2.17%,0.00%,57.14%,41.94%,47.62%,3.57%,6.52%,0.00%
17588,Jake Lindfors,Albany,2009,RS-Fr,25.00%,7.41%,0.00%,25.00%,35.29%,34.21%,15.00%,3.70%,0.00%
17595,Scotty McRae,Albany,2009,Sr,11.36%,5.00%,0.00%,57.14%,27.94%,22.73%,25.00%,9.00%,10.00%
17583,Blake Metcalf,Albany,2009,Fr,16.67%,14.29%,0.00%,50.00%,53.85%,100.00%,16.67%,21.43%,0.00%
17585,Derrek Tartt,Albany,2009,Fr,7.69%,33.33%,0.00%,33.33%,77.78%,45.45%,7.69%,0.00%,0.00%
17586,Fran Urli,Albany,2009,Jr,11.67%,11.90%,0.00%,48.00%,48.15%,50.00%,13.33%,7.14%,0.00%
14783,Corey Anthony,Alcorn State,2009,So,6.25%,10.00%,0.00%,60.00%,25.00%,14.29%,0.00%,5.00%,0.00%
14785,Derrick Blackwell,Alcorn State,2009,Jr,21.74%,7.69%,0.00%,31.58%,33.33%,47.37%,0.00%,0.00%,NA
14786,Gifford Blakely,Alcorn State,2009,RS-Sr,80.00%,16.67%,NA,50.00%,33.33%,NA,40.00%,0.00%,0.00%
9460,Jonathan Boyd,Alcorn State,2009,RS-Sr,13.33%,8.45%,1.00%,50.00%,33.96%,26.77%,0.00%,0.00%,NA
14795,Tony Eackles,Alcorn State,2009,Fr,10.26%,8.89%,0.00%,45.00%,42.86%,35.00%,2.56%,0.00%,0.00%
14787,Ian Francis,Alcorn State,2009,Fr,14.86%,12.66%,NA,26.15%,28.57%,NA,8.78%,2.53%,20.00%
14789,JaMarkus Holt,Alcorn State,2009,RS-Sr,12.50%,14.17%,0.00%,43.75%,25.00%,0.00%,26.92%,5.83%,2.86%
14794,Shauvanta Ingram,Alcorn State,2009,Fr,17.24%,7.02%,0.00%,41.18%,23.53%,29.73%,10.34%,1.75%,0.00%
14793,Michael Martin,Alcorn State,2009,Fr,28.57%,16.67%,NA,28.57%,0.00%,NA,14.29%,16.67%,0.00%
14788,Jamar Ragland,Alcorn State,2009,Fr,14.29%,8.11%,0.00%,37.50%,14.81%,37.50%,14.29%,0.00%,0.00%
14782,Brandon Rogers,Alcorn State,2009,RS-Sr,11.76%,14.29%,0.00%,46.15%,52.38%,31.03%,3.92%,2.86%,0.00%
14781,Alex Savannah,Alcorn State,2009,So,20.00%,5.88%,0.00%,31.58%,45.83%,25.00%,0.00%,0.00%,NA
14790,Keith Searcy,Alcorn State,2009,Fr,19.57%,5.97%,0.00%,39.13%,19.77%,28.57%,0.00%,0.75%,0.00%
14792,Michael Starks,Alcorn State,2009,Fr,26.19%,21.43%,NA,40.00%,20.00%,NA,14.29%,0.00%,0.00%
16942,Mike Bersch,American University,2009,Fr,20.00%,20.00%,0.00%,50.00%,66.67%,20.00%,0.00%,0.00%,NA
16939,Jordan Borucki,American University,2009,Fr,NA,0.00%,NA,NA,0.00%,NA,NA,0.00%,NA
16935,Daniel Fisher,American University,2009,Fr,0.00%,0.00%,NA,NA,25.00%,NA,0.00%,0.00%,NA
16944,Riley Grafft,American University,2009,So,0.00%,0.00%,0.00%,25.00%,25.49%,20.00%,23.91%,4.82%,0.00%
16943,Nick Hendra,American University,2009,Jr,5.45%,14.58%,0.65%,34.78%,42.50%,29.17%,5.45%,2.08%,0.00%
16938,Joe Hill (2),American University,2009,So,0.00%,25.00%,0.00%,0.00%,0.00%,26.83%,0.00%,0.00%,NA
16937,Jeff Holton,American University,2009,Fr,NA,NA,NA,NA,NA,NA,NA,NA,NA
16934,Blake Jolivette,American University,2009,Fr,12.50%,10.26%,0.00%,33.33%,29.63%,35.71%,0.00%,0.00%,NA
16946,Stephen Lumpkins,American University,2009,So,9.30%,13.33%,NA,36.25%,23.53%,NA,12.56%,0.00%,3.70%
16947,Steve Luptak,American University,2009,Jr,0.00%,5.26%,0.00%,40.00%,50.00%,23.68%,0.00%,0.00%,NA
16945,Simon McCormack,American University,2009,So,10.47%,6.78%,NA,53.13%,34.88%,NA,8.14%,0.00%,0.00%
16948,Vlad Moldoveanu,American University,2009,So,5.71%,2.35%,0.81%,50.00%,18.18%,31.58%,10.00%,1.18%,0.00%
16936,Daniel Munoz (2),American University,2009,Fr,22.22%,4.41%,0.00%,40.00%,31.91%,47.50%,0.00%,0.00%,NA
16941,Matthew Wilson,American University,2009,Jr,23.53%,10.00%,NA,28.57%,14.29%,NA,5.88%,0.00%,0.00%
20990,Ryann Abraham,Appalachian State,2009,Sr,6.98%,2.86%,1.33%,36.84%,38.10%,41.18%,0.00%,0.00%,NA
20981,J.R. Archer,Appalachian State,2009,Jr,NA,NA,0.00%,NA,NA,75.00%,NA,NA,NA
20983,Jeremi Booth,Appalachian State,2009,Jr,4.88%,10.77%,0.00%,64.29%,35.71%,34.25%,4.88%,0.00%,0.00%
20986,Kellen Brand,Appalachian State,2009,Sr,12.37%,3.51%,0.00%,41.67%,42.86%,42.19%,6.19%,0.88%,0.00%
20980,Isaac Butts,Appalachian State,2009,Jr,5.00%,2.63%,NA,40.82%,20.00%,NA,23.75%,13.16%,0.00%
20988,Nathan Healy,Appalachian State,2009,Fr,13.64%,5.26%,0.00%,55.56%,33.33%,25.00%,13.64%,0.00%,0.00%
20978,A.J. Highsmith,Appalachian State,2009,Sr,NA,NA,0.00%,NA,NA,28.57%,NA,NA,NA
20985,Josh Hunter,Appalachian State,2009,Sr,11.11%,11.11%,0.00%,48.65%,35.14%,33.33%,13.89%,9.26%,0.00%
20982,Jacob Lail,Appalachian State,2009,So,0.00%,0.00%,NA,0.00%,0.00%,NA,0.00%,0.00%,NA
20984,Josh Nirenberg,Appalachian State,2009,Fr,0.00%,0.00%,NA,66.67%,20.00%,NA,14.29%,0.00%,0.00%
9581,Donald Sims,Appalachian State,2009,Jr,14.12%,3.97%,1.39%,43.75%,44.59%,31.52%,1.18%,0.00%,0.00%
20991,Tyler Webb,Appalachian State,2009,Sr,0.00%,0.00%,0.00%,0.00%,27.27%,38.46%,12.50%,0.00%,0.00%
20979,Andre Williamson,Appalachian State,2009,So,4.35%,2.94%,NA,28.57%,28.57%,NA,26.09%,8.82%,11.11%
20987,Marcus Wright,Appalachian State,2009,So,12.50%,4.76%,2.00%,46.67%,44.74%,39.39%,2.50%,0.00%,0.00%
6680,Ty Abbott,Arizona State,2009,Jr,8.16%,7.69%,0.52%,44.44%,30.23%,30.43%,4.08%,1.54%,0.00%
1954,Eric Boateng,Arizona State,2009,Sr,5.17%,5.00%,NA,41.38%,16.67%,NA,19.83%,5.00%,11.54%
4734,Derek Glasser,Arizona State,2009,Sr,13.46%,5.06%,0.00%,41.38%,38.18%,26.47%,0.00%,0.00%,NA
6682,Marcus Jackson,Arizona State,2009,Fr,33.33%,NA,NA,50.00%,NA,NA,0.00%,NA,NA
6676,Rihards Kuksiks,Arizona State,2009,Jr,6.38%,8.16%,1.42%,18.75%,29.63%,26.15%,6.38%,2.04%,0.00%
6679,Trent Lockett,Arizona State,2009,Fr,8.70%,7.14%,0.00%,35.00%,19.57%,33.33%,10.14%,0.00%,0.00%
6674,Jamelle McMillan,Arizona State,2009,Jr,17.39%,9.09%,1.14%,38.10%,35.71%,24.07%,0.00%,0.00%,NA
6677,Ruslan Pateev,Arizona State,2009,Fr,0.00%,0.00%,NA,0.00%,30.00%,NA,46.15%,25.00%,20.00%
6678,Taylor Rohde,Arizona State,2009,So,12.12%,14.29%,0.00%,25.00%,25.00%,80.00%,21.21%,14.29%,0.00%
6681,Victor Rudd,Arizona State,2009,Fr,14.29%,0.00%,3.57%,0.00%,NA,18.18%,0.00%,0.00%,0.00%
6675,Jerren Shipp,Arizona State,2009,Sr,5.41%,10.00%,2.13%,33.33%,42.86%,35.29%,8.11%,5.00%,0.00%
6671,Brandon Thompson,Arizona State,2009,Fr,NA,NA,0.00%,NA,NA,50.00%,NA,NA,NA
6673,Demetrius Walker,Arizona State,2009,Fr,10.00%,3.45%,0.00%,41.67%,27.27%,26.32%,0.00%,3.45%,0.00%
6649,Kyle Fogg,Arizona,2009,So,6.82%,7.07%,0.00%,38.46%,39.44%,32.84%,2.27%,2.02%,0.00%
6653,Solomon Hill,Arizona,2009,Fr,7.14%,11.11%,0.00%,52.17%,30.00%,14.29%,14.29%,6.35%,0.00%
6647,Jamelle Horne,Arizona,2009,Jr,3.03%,6.10%,1.74%,33.33%,24.00%,23.08%,24.24%,3.66%,27.27%
6641,Alex Jacobson,Arizona,2009,So,0.00%,0.00%,0.00%,NA,50.00%,NA,100.00%,10.00%,0.00%
2540,Lamont Jones,Arizona,2009,Fr,10.00%,10.64%,0.00%,46.15%,30.19%,25.58%,5.00%,3.19%,0.00%
6646,Garland Judkins,Arizona,2009,RS-So,0.00%,0.00%,0.00%,NA,0.00%,NA,0.00%,0.00%,NA
6642,Brendon Lavender,Arizona,2009,So,18.18%,10.00%,0.00%,28.57%,14.29%,34.88%,0.00%,0.00%,NA
6650,Kyryl Natyazhko,Arizona,2009,Fr,5.26%,17.65%,0.00%,20.00%,21.74%,33.33%,31.58%,11.76%,0.00%
6648,Kevin Parrom,Arizona,2009,Fr,3.70%,5.88%,0.00%,60.00%,36.00%,25.00%,14.81%,11.76%,0.00%
6643,D.J. Shumpert,Arizona,2009,So,NA,0.00%,NA,NA,50.00%,NA,NA,0.00%,NA
6644,Derrick Williams,Arizona,2009,Fr,4.12%,16.67%,0.00%,51.22%,40.30%,8.33%,11.76%,6.25%,11.54%
6645,Dondre Wise,Arizona,2009,So,NA,NA,NA,NA,NA,NA,NA,NA,NA
2331,Nic Wise,Arizona,2009,Sr,13.70%,9.60%,1.44%,48.57%,24.10%,19.10%,0.00%,0.00%,NA
14852,Hugh Barnett,Arkansas-Pine Bluff ,2009,Sr,0.00%,0.00%,NA,20.00%,25.00%,NA,20.00%,0.00%,0.00%
14858,Terrance Calvin,Arkansas-Pine Bluff ,2009,Sr,17.92%,7.98%,0.00%,51.85%,36.84%,33.33%,6.60%,2.45%,0.00%
14856,Stephan Collins,Arkansas-Pine Bluff ,2009,Fr,0.00%,0.00%,0.00%,16.67%,50.00%,25.00%,27.27%,25.00%,0.00%
14851,George Davis,Arkansas-Pine Bluff ,2009,Sr,13.46%,6.58%,0.00%,65.00%,32.61%,33.33%,17.31%,3.95%,16.67%
14861,Tyrees Glass,Arkansas-Pine Bluff ,2009,Sr,10.78%,23.21%,0.00%,46.15%,41.46%,21.05%,10.78%,3.57%,0.00%
14859,Terrell Kennedy,Arkansas-Pine Bluff ,2009,So,12.20%,14.29%,0.00%,65.00%,50.00%,0.00%,9.76%,0.00%,0.00%
14847,Antoni Lasker,Arkansas-Pine Bluff ,2009,So,0.00%,NA,0.00%,NA,NA,0.00%,0.00%,NA,NA
14862,Vincent Martin,Arkansas-Pine Bluff ,2009,Fr,0.00%,25.00%,0.00%,0.00%,33.33%,37.50%,0.00%,12.50%,0.00%
14850,Gavin Montgomery,Arkansas-Pine Bluff ,2009,Jr,0.00%,14.29%,0.00%,33.33%,33.33%,30.00%,20.00%,0.00%,0.00%
14849,Dominic Moore,Arkansas-Pine Bluff ,2009,Jr,15.38%,25.00%,0.00%,42.86%,20.00%,20.00%,7.69%,10.00%,33.33%
14848,Antonio Ootesey,Arkansas-Pine Bluff ,2009,Jr,50.00%,0.00%,0.00%,50.00%,100.00%,22.22%,0.00%,0.00%,NA
14854,Ricky Parks,Arkansas-Pine Bluff ,2009,Jr,10.00%,22.22%,0.00%,60.00%,22.22%,36.36%,20.00%,0.00%,0.00%
14846,Allen Smith,Arkansas-Pine Bluff ,2009,Jr,11.11%,4.55%,0.00%,43.75%,31.58%,40.00%,0.00%,0.00%,NA
14860,Terry Tidwell,Arkansas-Pine Bluff ,2009,Fr,12.50%,0.00%,100.00%,66.67%,100.00%,100.00%,12.50%,0.00%,0.00%
14855,Savalace Townsend,Arkansas-Pine Bluff ,2009,So,16.07%,11.24%,0.00%,53.57%,51.52%,33.93%,0.00%,2.25%,0.00%
14857,Tavaris Washington,Arkansas-Pine Bluff ,2009,Sr,7.84%,16.67%,0.00%,41.67%,52.94%,42.86%,3.27%,12.50%,0.00%
14853,Lebaron Weathers,Arkansas-Pine Bluff ,2009,Sr,9.09%,8.45%,0.00%,35.48%,30.12%,35.38%,19.70%,3.52%,0.00%
4550,Martavius Adams,Arkansas State ,2009,So,2.63%,6.36%,NA,48.72%,31.08%,NA,13.16%,1.82%,13.64%
19725,Rashad Allison,Arkansas State ,2009,Jr,23.08%,4.17%,0.00%,20.83%,29.31%,30.56%,1.92%,0.00%,0.00%
19719,Donald Boone,Arkansas State ,2009,RS-Sr,NA,NA,NA,NA,NA,NA,NA,NA,NA
5976,JeJuan Brown,Arkansas State ,2009,Jr,4.00%,2.17%,0.00%,40.00%,22.86%,25.00%,12.00%,6.52%,0.00%
19718,Daniel Bryant,Arkansas State ,2009,So,9.43%,8.33%,0.00%,46.15%,50.00%,38.96%,0.00%,0.00%,0.00%
19721,Justin Butler,Arkansas State ,2009,Jr,12.50%,0.00%,0.00%,25.00%,33.33%,33.33%,25.00%,25.00%,0.00%
19726,Trey Finn,Arkansas State ,2009,Fr,14.58%,4.92%,0.00%,52.17%,35.71%,28.30%,20.83%,1.64%,0.00%
19724,Michael Lance,Arkansas State ,2009,Sr,0.00%,0.00%,0.00%,0.00%,0.00%,50.00%,66.67%,0.00%,0.00%
19716,Brandon Peterson,Arkansas State ,2009,Fr,9.89%,7.35%,0.00%,33.33%,30.00%,0.00%,26.37%,4.41%,3.70%
19717,Brandon Reed,Arkansas State ,2009,Fr,13.51%,5.56%,0.00%,53.19%,44.90%,38.26%,12.61%,1.39%,0.00%
19715,Adam Sterrenberg,Arkansas State ,2009,Fr,9.09%,0.00%,0.00%,25.00%,33.33%,13.64%,0.00%,0.00%,NA
19720,Jeremy Thomas,Arkansas State ,2009,Jr,14.06%,22.22%,0.00%,61.11%,16.67%,100.00%,20.31%,11.11%,0.00%
5539,Marcus Britt,Arkansas,2009,Jr,0.00%,7.69%,0.00%,20.00%,42.86%,34.78%,22.73%,0.00%,0.00%
5536,Glenn Bryant,Arkansas,2009,Fr,6.90%,27.27%,0.00%,22.22%,50.00%,25.00%,20.69%,27.27%,0.00%
5543,Rotnei Clarke,Arkansas,2009,So,9.38%,3.03%,4.70%,50.00%,25.71%,24.63%,3.13%,0.00%,0.00%
