GMID,Name,School,Year,Grade,BLK,B2PJ,BS2P,B3P,R2PJ,RS2P,R3P,S2PJ,S2PS,S3PS,PickSix
14650,Cornelius Hester,Alabama A&M ,2009,RS-Sr,0,0,0,0,0,0,0,0,0,0,0
14652,Evan Hilton,Alabama A&M ,2009,Sr,0,0,0,0,0,0,0,0,0,0,0
14655,Jonathan Inman,Alabama A&M ,2009,RS-Sr,0,0,0,0,0,0,0,0,0,0,0
14651,Desmond Jackson,Alabama A&M ,2009,Jr,0,0,0,0,0,0,0,0,0,0,0
14660,Maurice Kemp,Alabama A&M ,2009,Fr,0,0,0,0,0,0,0,0,0,0,0
14659,Marcus Lee,Alabama A&M ,2009,Fr,1,0,0,1,0,0,1,0,0,0,0
14662,Reggie Porter,Alabama A&M ,2009,Jr,0,0,0,0,0,0,0,0,0,0,0
14657,Khiry White,Alabama A&M ,2009,RS-Fr,0,0,0,0,0,0,0,0,0,0,0
14645,Adam Young,Alabama A&M ,2009,Fr,1,1,0,0,1,0,0,0,0,0,0
14725,Stephawn Brown,Alabama State,2009,Fr,0,0,0,0,0,0,0,0,0,0,0
14726,Tramaine Butler,Alabama State,2009,RS-Jr,0,0,0,0,0,0,0,0,0,0,0
14714,Chris Duncan,Alabama State,2009,Jr,0,0,0,0,0,0,0,0,0,0,0
14719,Jevon Freeman,Alabama State,2009,Jr,0,0,0,0,0,0,0,0,0,0,0
14720,Jordan Jefferson,Alabama State,2009,RS-Fr,0,0,0,0,0,0,0,0,0,0,0
14715,Derrick Johnson,Alabama State,2009,So,0,0,0,0,0,0,0,0,0,0,0
14718,Jeffery Middlebrooks,Alabama State,2009,So,0,0,0,0,0,0,0,0,1,0,0
14724,Sekari Milligen,Alabama State,2009,So,0,0,0,0,0,0,0,0,0,0,0
14727,Tramyne Moorer,Alabama State,2009,Jr,0,0,0,0,0,0,0,0,1,0,0
14717,Jadarren Mumpfield,Alabama State,2009,Jr,0,0,0,0,0,0,0,0,0,0,0
14721,Menji Mundadi,Alabama State,2009,Sr,0,0,0,0,0,0,0,0,0,0,0
14722,Robert Sanders,Alabama State,2009,Jr,0,0,0,0,0,0,0,0,1,0,0
14712,A.J. Spencer,Alabama State,2009,Jr,0,0,0,0,0,0,0,1,0,0,0
14407,Byron Walker,Alabama State,2009,Sr,1,0,1,0,0,0,0,0,0,0,0
14723,Ryan Watts,Alabama State,2009,Fr,0,0,0,0,0,0,0,0,0,0,0
14716,Ivory White,Alabama State,2009,So,0,0,0,0,0,0,0,0,2,0,0
5496,Anthony Brock,Alabama,2009,Sr,1,1,0,0,0,0,0,1,0,0,3
5502,Greg Cage,Alabama,2009,Sr,0,0,0,0,0,0,0,0,0,0,0
5498,Charvez Davis,Alabama,2009,Jr,0,0,0,0,0,0,0,0,3,0,0
44725,Chris Dixon,Alabama,2009,Fr,0,0,0,0,0,0,0,0,0,0,0
5497,Ben Eblen,Alabama,2009,Fr,0,0,0,0,0,0,0,1,0,0,0
2187,JaMychal Green,Alabama,2009,So,28,14,14,0,10,5,0,1,4,0,1
2356,Senario Hillman,Alabama,2009,Jr,2,1,1,0,0,1,0,2,2,0,6
5499,Chris Hines,Alabama,2009,Jr,9,3,5,1,0,2,0,0,1,0,1
5503,Justin Knox,Alabama,2009,Jr,7,2,5,0,2,4,0,2,3,0,0
5504,Justin Luquire,Alabama,2009,Sr,0,0,0,0,0,0,0,0,0,0,0
5506,Tony Mitchell,Alabama,2009,Fr,13,3,10,0,2,6,0,1,2,0,3
5495,Andrew Steele,Alabama,2009,RS-So,1,0,0,1,0,0,0,1,0,0,0
5505,Mikhail Torrance,Alabama,2009,Sr,6,0,4,2,0,3,2,2,1,0,6
17582,Billy Allen,Albany,2009,So,0,0,0,0,0,0,0,0,0,0,0
17596,Tim Ambrose,Albany,2009,Jr,0,0,0,0,0,0,0,0,0,0,2
17590,Logan Aronhalt,Albany,2009,Fr,1,1,0,0,0,0,0,0,0,0,0
17591,Louis Barraza,Albany,2009,Jr,1,0,1,0,0,0,0,0,0,0,0
17593,Mike Black,Albany,2009,Fr,0,0,0,0,0,0,0,0,0,0,1
17584,Brett Gifford,Albany,2009,Sr,2,1,1,0,1,1,0,1,0,0,0
4414,Will Harris,Albany,2009,Sr,0,0,0,0,0,0,0,0,0,0,0
17592,Mike Johnson,Albany,2009,Sr,0,0,0,0,0,0,0,0,0,0,0
17588,Jake Lindfors,Albany,2009,RS-Fr,2,1,1,0,1,0,0,0,0,0,0
17595,Scotty McRae,Albany,2009,Sr,2,1,1,0,1,1,0,0,0,0,0
17583,Blake Metcalf,Albany,2009,Fr,2,2,0,0,1,0,0,1,0,0,0
17585,Derrek Tartt,Albany,2009,Fr,0,0,0,0,0,0,0,0,0,0,0
17586,Fran Urli,Albany,2009,Jr,0,0,0,0,0,0,0,0,1,0,1
14783,Corey Anthony,Alcorn State,2009,So,1,0,1,0,0,0,0,0,0,0,0
14785,Derrick Blackwell,Alcorn State,2009,Jr,0,0,0,0,0,0,0,0,0,0,0
14786,Gifford Blakely,Alcorn State,2009,RS-Sr,0,0,0,0,0,0,0,0,0,0,0
9460,Jonathan Boyd,Alcorn State,2009,RS-Sr,0,0,0,0,0,0,0,0,1,0,0
14795,Tony Eackles,Alcorn State,2009,Fr,0,0,0,0,0,0,0,0,0,0,1
14787,Ian Francis,Alcorn State,2009,Fr,2,0,2,0,0,1,0,1,0,0,0
14789,JaMarkus Holt,Alcorn State,2009,RS-Sr,9,3,6,0,3,2,0,0,0,0,0
14794,Shauvanta Ingram,Alcorn State,2009,Fr,0,0,0,0,0,0,0,1,1,0,0
14793,Michael Martin,Alcorn State,2009,Fr,2,0,2,0,0,0,0,0,1,0,0
14788,Jamar Ragland,Alcorn State,2009,Fr,0,0,0,0,0,0,0,0,0,0,0
14782,Brandon Rogers,Alcorn State,2009,RS-Sr,0,0,0,0,0,0,0,0,0,0,0
14781,Alex Savannah,Alcorn State,2009,So,0,0,0,0,0,0,0,0,0,0,1
14790,Keith Searcy,Alcorn State,2009,Fr,0,0,0,0,0,0,0,0,0,0,0
14792,Michael Starks,Alcorn State,2009,Fr,0,0,0,0,0,0,0,0,0,0,0
16942,Mike Bersch,American University,2009,Fr,0,0,0,0,0,0,0,0,0,0,0
16939,Jordan Borucki,American University,2009,Fr,0,0,0,0,0,0,0,0,0,0,0
16935,Daniel Fisher,American University,2009,Fr,0,0,0,0,0,0,0,0,0,0,0
16944,Riley Grafft,American University,2009,So,1,1,0,0,0,0,0,0,1,1,0
16943,Nick Hendra,American University,2009,Jr,0,0,0,0,0,0,0,0,0,0,1
16938,Joe Hill (2),American University,2009,So,0,0,0,0,0,0,0,0,0,0,0
16937,Jeff Holton,American University,2009,Fr,0,0,0,0,0,0,0,0,0,0,0
16934,Blake Jolivette,American University,2009,Fr,0,0,0,0,0,0,0,0,0,0,0
16946,Stephen Lumpkins,American University,2009,So,4,1,3,0,1,2,0,0,0,0,0
16947,Steve Luptak,American University,2009,Jr,0,0,0,0,0,0,0,0,0,0,0
16945,Simon McCormack,American University,2009,So,0,0,0,0,0,0,0,0,0,0,0
16948,Vlad Moldoveanu,American University,2009,So,1,1,0,0,1,0,0,0,0,0,0
16936,Daniel Munoz (2),American University,2009,Fr,0,0,0,0,0,0,0,0,0,0,0
16941,Matthew Wilson,American University,2009,Jr,0,0,0,0,0,0,0,0,0,0,0
20990,Ryann Abraham,Appalachian State,2009,Sr,1,0,1,0,0,1,0,0,1,0,0
20981,J.R. Archer,Appalachian State,2009,Jr,0,0,0,0,0,0,0,0,0,0,0
20983,Jeremi Booth,Appalachian State,2009,Jr,0,0,0,0,0,0,0,0,0,0,1
20986,Kellen Brand,Appalachian State,2009,Sr,0,0,0,0,0,0,0,0,0,0,0
20980,Isaac Butts,Appalachian State,2009,Jr,3,2,1,0,2,0,0,0,2,0,0
20988,Nathan Healy,Appalachian State,2009,Fr,0,0,0,0,0,0,0,0,0,0,1
20978,A.J. Highsmith,Appalachian State,2009,Sr,0,0,0,0,0,0,0,0,0,0,0
20985,Josh Hunter,Appalachian State,2009,Sr,3,1,2,0,1,0,0,0,2,0,0
20982,Jacob Lail,Appalachian State,2009,So,0,0,0,0,0,0,0,0,0,0,0
20984,Josh Nirenberg,Appalachian State,2009,Fr,0,0,0,0,0,0,0,0,0,0,0
9581,Donald Sims,Appalachian State,2009,Jr,0,0,0,0,0,0,0,0,1,0,0
20991,Tyler Webb,Appalachian State,2009,Sr,1,0,1,0,0,1,0,0,2,0,0
20979,Andre Williamson,Appalachian State,2009,So,7,2,5,0,2,3,0,0,0,0,0
20987,Marcus Wright,Appalachian State,2009,So,0,0,0,0,0,0,0,0,0,0,0
6680,Ty Abbott,Arizona State,2009,Jr,4,3,0,1,1,0,1,0,0,0,2
1954,Eric Boateng,Arizona State,2009,Sr,8,2,6,0,2,4,0,0,3,0,0
4734,Derek Glasser,Arizona State,2009,Sr,0,0,0,0,0,0,0,0,0,0,2
6682,Marcus Jackson,Arizona State,2009,Fr,0,0,0,0,0,0,0,0,0,0,0
6676,Rihards Kuksiks,Arizona State,2009,Jr,6,3,3,0,2,3,0,1,2,0,2
6679,Trent Lockett,Arizona State,2009,Fr,2,1,1,0,1,1,0,1,1,0,1
6674,Jamelle McMillan,Arizona State,2009,Jr,3,3,0,0,2,0,0,0,0,0,0
6677,Ruslan Pateev,Arizona State,2009,Fr,5,1,3,0,1,1,0,0,1,0,0
6678,Taylor Rohde,Arizona State,2009,So,1,1,0,0,1,0,0,0,0,0,0
6681,Victor Rudd,Arizona State,2009,Fr,0,0,0,0,0,0,0,0,0,0,1
6675,Jerren Shipp,Arizona State,2009,Sr,0,0,0,0,0,0,0,0,0,0,0
6671,Brandon Thompson,Arizona State,2009,Fr,0,0,0,0,0,0,0,0,0,0,0
6673,Demetrius Walker,Arizona State,2009,Fr,1,0,1,0,0,0,0,1,0,0,0
6649,Kyle Fogg,Arizona,2009,So,4,1,1,1,1,0,0,4,3,0,1
6653,Solomon Hill,Arizona,2009,Fr,3,2,1,0,1,1,0,1,0,0,1
6647,Jamelle Horne,Arizona,2009,Jr,17,7,10,0,3,4,0,0,1,0,0
6641,Alex Jacobson,Arizona,2009,So,1,1,0,0,0,0,0,0,0,0,1
2540,Lamont Jones,Arizona,2009,Fr,0,0,0,0,0,0,0,1,1,0,0
6646,Garland Judkins,Arizona,2009,RS-So,0,0,0,0,0,0,0,1,0,0,0
6642,Brendon Lavender,Arizona,2009,So,1,1,0,0,1,0,0,0,0,0,1
6650,Kyryl Natyazhko,Arizona,2009,Fr,1,0,1,0,0,1,0,3,2,0,0
6648,Kevin Parrom,Arizona,2009,Fr,2,1,0,1,0,0,1,0,1,0,0
6643,D.J. Shumpert,Arizona,2009,So,0,0,0,0,0,0,0,0,0,0,0
6644,Derrick Williams,Arizona,2009,Fr,6,4,2,0,2,1,0,1,0,0,1
6645,Dondre Wise,Arizona,2009,So,0,0,0,0,0,0,0,0,0,0,0
2331,Nic Wise,Arizona,2009,Sr,0,0,0,0,0,0,0,0,1,0,0
14852,Hugh Barnett,Arkansas-Pine Bluff ,2009,Sr,1,0,1,0,0,1,0,0,2,0,0
14858,Terrance Calvin,Arkansas-Pine Bluff ,2009,Sr,0,0,0,0,0,0,0,0,0,0,0
14856,Stephan Collins,Arkansas-Pine Bluff ,2009,Fr,1,0,1,0,0,1,0,0,1,0,0
14851,George Davis,Arkansas-Pine Bluff ,2009,Sr,6,3,3,0,1,3,0,2,2,0,0
14861,Tyrees Glass,Arkansas-Pine Bluff ,2009,Sr,3,0,3,0,0,1,0,0,0,0,0
14859,Terrell Kennedy,Arkansas-Pine Bluff ,2009,So,0,0,0,0,0,0,0,0,0,0,0
14847,Antoni Lasker,Arkansas-Pine Bluff ,2009,So,0,0,0,0,0,0,0,0,0,0,0
14862,Vincent Martin,Arkansas-Pine Bluff ,2009,Fr,1,0,0,1,0,0,1,0,0,0,0
14850,Gavin Montgomery,Arkansas-Pine Bluff ,2009,Jr,0,0,0,0,0,0,0,0,0,0,0
14849,Dominic Moore,Arkansas-Pine Bluff ,2009,Jr,1,1,0,0,1,0,0,0,0,0,0
14848,Antonio Ootesey,Arkansas-Pine Bluff ,2009,Jr,0,0,0,0,0,0,0,0,0,0,0
14854,Ricky Parks,Arkansas-Pine Bluff ,2009,Jr,0,0,0,0,0,0,0,0,0,0,0
14846,Allen Smith,Arkansas-Pine Bluff ,2009,Jr,0,0,0,0,0,0,0,0,0,0,0
14860,Terry Tidwell,Arkansas-Pine Bluff ,2009,Fr,0,0,0,0,0,0,0,0,0,0,0
14855,Savalace Townsend,Arkansas-Pine Bluff ,2009,So,3,1,1,1,1,1,1,0,0,0,2
14857,Tavaris Washington,Arkansas-Pine Bluff ,2009,Sr,2,1,1,0,0,1,0,1,0,0,2
14853,Lebaron Weathers,Arkansas-Pine Bluff ,2009,Sr,10,6,4,0,3,4,0,0,1,0,0
4550,Martavius Adams,Arkansas State ,2009,So,3,2,1,0,0,0,0,0,1,0,0
19725,Rashad Allison,Arkansas State ,2009,Jr,0,0,0,0,0,0,0,0,0,0,1
19719,Donald Boone,Arkansas State ,2009,RS-Sr,0,0,0,0,0,0,0,0,0,0,0
5976,JeJuan Brown,Arkansas State ,2009,Jr,3,1,2,0,1,1,0,0,2,0,1
19718,Daniel Bryant,Arkansas State ,2009,So,1,0,1,0,0,0,0,0,2,0,1
19721,Justin Butler,Arkansas State ,2009,Jr,0,0,0,0,0,0,0,0,0,0,0
19726,Trey Finn,Arkansas State ,2009,Fr,0,0,0,0,0,0,0,0,1,0,2
19724,Michael Lance,Arkansas State ,2009,Sr,0,0,0,0,0,0,0,0,0,0,0
19716,Brandon Peterson,Arkansas State ,2009,Fr,8,2,6,0,1,1,0,1,1,0,0
19717,Brandon Reed,Arkansas State ,2009,Fr,0,0,0,0,0,0,0,0,0,0,1
19715,Adam Sterrenberg,Arkansas State ,2009,Fr,0,0,0,0,0,0,0,0,0,0,0
19720,Jeremy Thomas,Arkansas State ,2009,Jr,1,0,1,0,0,0,0,0,0,0,0
5539,Marcus Britt,Arkansas,2009,Jr,2,1,1,0,0,0,0,0,1,0,3
5536,Glenn Bryant,Arkansas,2009,Fr,11,7,4,0,4,2,0,0,1,0,2
5543,Rotnei Clarke,Arkansas,2009,So,3,1,2,0,0,0,0,0,1,0,3
5545,Stephen Cox,Arkansas,2009,Jr,0,0,0,0,0,0,0,0,0,0,0
5537,Jemal Farmer,Arkansas,2009,Jr,2,2,0,0,2,0,0,1,0,0,0
3642,Courtney Fortson,Arkansas,2009,So,3,2,1,0,2,0,0,0,0,0,1
5535,Delvon Johnson,Arkansas,2009,Jr,12,8,4,0,6,1,0,0,1,0,0
5534,Cody Lay,Arkansas,2009,Fr,0,0,0,0,0,0,0,0,0,0,0
5542,Nick Mason,Arkansas,2009,So,0,0,0,0,0,0,0,0,0,0,0
5532,Brandon Mitchell,Arkansas,2009,RS-Fr,0,0,0,0,0,0,0,0,0,0,0
5538,Julysses Nobles,Arkansas,2009,Fr,0,0,0,0,0,0,0,0,0,0,2
5540,Marshawn Powell,Arkansas,2009,Fr,22,10,11,1,8,6,0,1,2,0,0
5533,Chris Roberts,Arkansas,2009,Fr,0,0,0,0,0,0,0,0,0,0,0
5541,Michael Sanchez,Arkansas,2009,So,0,0,0,0,0,0,0,0,0,0,0
2330,Michael Washington,Arkansas,2009,Sr,18,7,11,0,2,9,0,0,2,0,1
5544,Stefan Welsh,Arkansas,2009,Sr,1,0,1,0,0,0,0,1,1,0,1
16988,Joe Clark,Army,2009,So,0,0,0,0,0,0,0,0,0,0,0
16984,Ella Ellis,Army,2009,Fr,0,0,0,0,0,0,0,0,0,0,0
16996,Nathan Hedgecock,Army,2009,Jr,0,0,0,0,0,0,0,0,0,0,0
16987,Jeremy Hence,Army,2009,Jr,0,0,0,0,0,0,0,0,0,0,0
16995,Mitch McDonald,Army,2009,Jr,0,0,0,0,0,0,0,0,0,0,0
47965,C.J. McElrath,Army,2009,Fr,0,0,0,0,0,0,0,0,0,0,0
16991,Josh Miller,Army,2009,Sr,0,0,0,0,0,0,0,0,0,0,0
16994,Marcus Nelson,Army,2009,Sr,1,0,1,0,0,1,0,0,1,0,0
16986,Jason Pancoe,Army,2009,Fr,0,0,0,0,0,0,0,0,0,0,0
16983,Cleveland Richard,Army,2009,Sr,2,0,1,1,0,0,1,0,0,0,0
16992,Julian Simmons,Army,2009,So,0,0,0,0,0,0,0,0,0,0,0
16989,Jon Sizemore,Army,2009,Sr,0,0,0,0,0,0,0,0,0,0,0
16990,Jordan Springer,Army,2009,Fr,0,0,0,0,0,0,0,0,0,0,0
16998,Tyrell Thompson,Army,2009,Sr,0,0,0,0,0,0,0,0,0,0,0
16982,Chris Walker,Army,2009,Sr,0,0,0,0,0,0,0,0,0,0,0
16985,Eric Zastoupil,Army,2009,Sr,0,0,0,0,0,0,0,0,0,0,0
5590,Ty Armstrong,Auburn,2009,Fr,5,1,4,0,1,3,0,1,1,0,0
5587,Rob Chubb,Auburn,2009,Fr,0,0,0,0,0,0,0,0,0,0,0
5581,Jake Drum,Auburn,2009,So,0,0,0,0,0,0,0,0,0,0,0
5584,Kenny Gabriel,Auburn,2009,So,5,2,2,1,0,1,0,0,0,0,0
5586,Lucas Hargrove,Auburn,2009,Sr,5,1,4,0,0,3,0,0,2,0,5
5578,Brendan Knox,Auburn,2009,Sr,16,5,11,0,2,9,0,0,1,0,0
5582,Johnnie Lett,Auburn,2009,Sr,4,1,3,0,1,1,0,0,5,0,0
5577,Andre Malone,Auburn,2009,Fr,1,0,1,0,0,1,0,0,0,0,0
5589,Tony Neysmith,Auburn,2009,So,0,0,0,0,0,0,0,0,0,0,0
4818,DeWayne Reed,Auburn,2009,Sr,1,0,1,0,0,1,0,1,2,0,3
5579,Earnest Ross,Auburn,2009,Fr,0,0,0,0,0,0,0,0,1,0,0
5580,Frankie Sullivan,Auburn,2009,So,5,3,2,0,2,0,0,2,1,0,0
5583,Josh Wallace,Auburn,2009,Fr,0,0,0,0,0,0,0,0,0,0,0
5588,Tay Waller,Auburn,2009,Sr,4,2,1,1,2,1,0,0,2,0,4
5585,"Larry Williams, Jr.",Auburn,2009,Jr,0,0,0,0,0,0,0,0,0,0,0
11659,Justin Blake,Austin Peay,2009,Fr,0,0,0,0,0,0,0,0,0,0,0
11650,Caleb Brown,Austin Peay,2009,Jr,0,0,0,0,0,0,0,0,0,0,0
11661,Tyrone Caldwell,Austin Peay,2009,So,0,0,0,0,0,0,0,0,0,0,0
9444,Anthony Campbell,Austin Peay,2009,So,2,1,1,0,0,1,0,0,0,0,0
11662,Wesley Channels,Austin Peay,2009,Sr,1,0,1,0,0,0,0,0,1,0,0
11655,Ernest Fields,Austin Peay,2009,Sr,0,0,0,0,0,0,0,0,0,0,0
11658,John Fraley,Austin Peay,2009,So,4,2,2,0,1,2,0,0,0,0,0
11654,Eric Mosley,Austin Peay,2009,Fr,0,0,0,0,0,0,0,0,0,0,0
11651,Chris Reaves,Austin Peay,2009,So,0,0,0,0,0,0,0,0,0,0,0
11653,Duran Roberson,Austin Peay,2009,Jr,5,1,4,0,1,2,0,0,0,0,0
11660,Marcel Williams,Austin Peay,2009,So,6,3,3,0,2,2,0,0,0,0,0
11652,Christopher Wood,Austin Peay,2009,Fr,0,0,0,0,0,0,0,0,0,0,0
11376,Brawley Chisholm,Ball State,2009,Sr,0,0,0,0,0,0,0,0,1,0,0
11385,Randy Davis,Ball State,2009,So,0,0,0,0,0,0,0,0,0,0,1
11388,Zach Fields,Ball State,2009,Fr,1,1,0,0,1,0,0,0,0,0,0
11380,John Green,Ball State,2009,Fr,1,0,1,0,0,1,0,0,0,0,0
11383,"Myron Green, Jr.",Ball State,2009,Fr,0,0,0,0,0,0,0,0,0,0,0
69742,Maurice Hubbard,Ball State,2009,Fr,0,0,0,0,0,0,0,0,0,0,0
11378,Jarrod Jones,Ball State,2009,So,3,0,3,0,0,1,0,1,1,0,0
11381,Malik Perry,Ball State,2009,Jr,0,0,0,0,0,0,0,0,0,0,0
11379,Jauwan Scaife,Ball State,2009,Fr,0,0,0,0,0,0,0,1,0,0,0
11384,Pierre Sneed,Ball State,2009,So,0,0,0,0,0,0,0,0,0,0,0
5797,Terrence Watson,Ball State,2009,Sr,9,5,4,0,2,1,0,0,2,0,0
4130,Quincy Acy,Baylor,2009,So,17,9,6,2,2,5,1,0,1,0,0
1945,Tweety Carter,Baylor,2009,Sr,0,0,0,0,0,0,0,2,0,0,3
4152,Givon Crump,Baylor,2009,Fr,0,0,0,0,0,0,0,0,0,0,0
4154,Nolan Dennis,Baylor,2009,Fr,3,2,0,0,0,0,0,0,1,0,0
4067,LaceDarius Dunn,Baylor,2009,Jr,7,3,3,1,1,1,1,4,5,0,4
4145,Fred Ellis,Baylor,2009,So,0,0,0,0,0,0,0,1,0,0,0
4151,Oscar Griffin,Baylor,2009,Fr,0,0,0,0,0,0,0,0,0,0,0
4149,Cory Jefferson,Baylor,2009,Fr,2,1,1,0,0,1,0,0,0,0,0
4142,Anthony Jones,Baylor,2009,So,9,3,5,1,2,4,1,1,0,0,0
4146,Josh Lomers,Baylor,2009,Sr,26,8,17,0,5,8,0,6,2,0,0
4153,Dragan Sekelja,Baylor,2009,Fr,0,0,0,0,0,0,0,0,0,0,0
4037,Ekpe Udoh,Baylor,2009,Jr,64,41,22,1,27,14,1,1,2,0,0
4150,A.J. Walton,Baylor,2009,Fr,2,0,1,1,0,1,1,1,0,0,3
14154,Brandon Baker,Belmont,2009,Fr,1,0,1,0,0,0,0,0,0,0,0
14152,Adam Barnes,Belmont,2009,Fr,0,0,0,0,0,0,0,0,0,0,0
14160,Keaton Belcher,Belmont,2009,Sr,3,3,0,0,1,0,0,0,0,0,0
14159,Jordan Campbell,Belmont,2009,Jr,1,1,0,0,0,0,0,0,0,0,1
14156,Ian Clark,Belmont,2009,Fr,1,1,0,0,1,0,0,0,0,0,1
14155,Drew Hanlen,Belmont,2009,So,0,0,0,0,0,0,0,0,0,0,0
14161,Mick Hedgepeth,Belmont,2009,So,3,2,1,0,1,1,0,0,0,0,0
14157,Jon House,Belmont,2009,Jr,1,1,0,0,0,0,0,0,1,0,0
3641,Kerron Johnson,Belmont,2009,Fr,0,0,0,0,0,0,0,0,0,1,0
14164,Trevor Noack,Belmont,2009,Fr,0,0,0,0,0,0,0,0,0,0,0
14158,Jonny Rice,Belmont,2009,So,0,0,0,0,0,0,0,0,0,0,0
7930,Scott Saunders,Belmont,2009,So,1,1,0,0,1,0,0,0,0,0,0
19024,Albert Abrahams,Bethune-Cookman,2009,Jr,3,0,3,0,0,1,0,1,0,0,0
19036,Tyrel Adams,Bethune-Cookman,2009,Sr,0,0,0,0,0,0,0,0,0,0,0
