GMID,Name,School,Year,PercShotS2P,S2PPer,PercShotl2P,L2PPer,PercL2PLC,PercShot3P,ThreePer,Perc3PLC
2157,Chris Wright,Georgetown,2010,27.71%,52.17%,22.89%,15.79%,38.78%,49.40%,31.71%,35.04%
2158,James Anderson,Oklahoma State,2009,31.03%,47.22%,26.72%,32.26%,34.44%,42.24%,38.78%,23.33%
2159,Cole Aldrich,Kansas,2009,31.48%,64.71%,68.52%,21.62%,30.83%,0.00%,NA,NA
2160,Taylor King,Villanova,2009,28.26%,46.15%,13.04%,50.00%,17.65%,58.70%,22.22%,24.55%
2161,Gani Lawal,Georgia Tech,2009,39.73%,79.31%,58.90%,32.56%,27.56%,1.37%,0.00%,100.00%
2172,Larry Drew,North Carolina,2009,9.09%,50.00%,47.73%,33.33%,19.09%,43.18%,31.58%,18.81%
2172,Larry Drew,North Carolina,2010,7.14%,100.00%,42.86%,16.67%,17.65%,50.00%,0.00%,28.00%
2172,Larry Drew,UCLA,2012,33.33%,45.83%,48.61%,31.43%,40.70%,18.06%,46.15%,21.31%
2173,Samardo Samuels,Louisville,2009,48.72%,68.42%,51.28%,42.50%,26.32%,0.00%,NA,NA
2174,Ed Davis,North Carolina,2009,23.08%,83.33%,76.92%,45.00%,15.15%,0.00%,NA,NA
2175,Tyler Zeller,North Carolina,2009,9.52%,50.00%,90.48%,31.58%,15.08%,0.00%,NA,0.00%
2175,Tyler Zeller,North Carolina,2010,23.81%,70.00%,76.19%,34.38%,16.84%,0.00%,NA,NA
2175,Tyler Zeller,North Carolina,2011,37.50%,58.33%,62.50%,55.00%,8.55%,0.00%,NA,NA
2176,Sylven Landesberg,Virginia,2009,29.31%,41.18%,53.45%,32.26%,34.44%,17.24%,35.00%,33.33%
2177,Mike Dunigan,Oregon,2009,35.00%,71.43%,65.00%,30.77%,24.53%,0.00%,NA,NA
2178,Greg Monroe,Georgetown,2009,50.53%,52.08%,40.00%,21.05%,37.25%,9.47%,44.44%,34.62%
2179,Willie Warren,Oklahoma,2009,25.93%,64.29%,29.63%,56.25%,27.12%,44.44%,37.50%,25.81%
2180,Al-Farouq Aminu,Wake Forest,2009,30.65%,52.63%,48.39%,16.67%,26.79%,20.97%,38.46%,25.00%
2181,Kemba Walker,Connecticut,2009,15.91%,42.86%,35.23%,35.48%,25.62%,48.86%,37.21%,43.43%
2181,Kemba Walker,Connecticut,2010,14.90%,70.97%,49.04%,34.31%,34.00%,36.06%,34.67%,33.94%
2182,Malcolm Lee,UCLA,2009,17.14%,83.33%,46.67%,26.53%,43.75%,36.19%,23.68%,36.89%
2182,Malcolm Lee,UCLA,2010,25.00%,56.67%,28.33%,26.47%,45.95%,46.67%,32.14%,42.42%
2183,Iman Shumpert,Georgia Tech,2009,14.00%,71.43%,40.00%,30.00%,20.62%,46.00%,21.74%,20.72%
2183,Iman Shumpert,Georgia Tech,2010,12.79%,63.64%,56.98%,34.69%,28.65%,30.23%,19.23%,17.22%
2184,Scotty Hopson,Tennessee,2009,15.79%,66.67%,36.84%,37.14%,29.91%,47.37%,28.89%,28.85%
2184,Scotty Hopson,Tennessee,2010,18.45%,52.63%,39.81%,31.71%,31.30%,41.75%,39.53%,32.09%
2185,Luke Babbitt,Nevada,2009,14.78%,41.18%,66.09%,52.63%,27.94%,19.13%,36.36%,22.92%
2186,William Buford,Ohio State,2009,12.09%,63.64%,52.75%,37.50%,25.67%,35.16%,53.13%,30.48%
2186,William Buford,Ohio State,2010,6.45%,50.00%,59.14%,38.18%,28.80%,34.41%,34.38%,27.35%
2186,William Buford,Ohio State,2011,11.57%,50.00%,50.41%,36.07%,27.60%,38.02%,43.48%,28.75%
2187,JaMychal Green,Alabama,2009,36.08%,60.00%,60.82%,42.37%,34.50%,3.09%,0.00%,60.00%
2187,JaMychal Green,Alabama,2010,30.91%,58.82%,68.18%,32.00%,39.68%,0.91%,100.00%,100.00%
2187,JaMychal Green,Alabama,2011,20.55%,60.00%,72.60%,39.62%,37.86%,6.85%,20.00%,50.00%
2188,Chris Singleton,Florida State,2009,21.43%,58.33%,32.14%,33.33%,27.27%,46.43%,26.92%,22.03%
2188,Chris Singleton,Florida State,2010,17.07%,42.86%,48.78%,35.00%,19.23%,34.15%,21.43%,15.22%
2189,Elliot Williams,Memphis,2009,26.09%,50.00%,17.39%,31.25%,22.22%,56.52%,28.85%,31.71%
2190,Mike Rosario,Rutgers,2009,19.39%,31.58%,29.59%,37.93%,23.77%,51.02%,30.00%,21.74%
2190,Mike Rosario,Florida,2011,5.00%,50.00%,25.00%,30.00%,26.32%,70.00%,28.57%,28.57%
2190,Mike Rosario,Florida,2012,14.29%,54.55%,50.65%,38.46%,52.00%,35.06%,33.33%,19.15%
2191,Derrick Favors,Georgia Tech,2009,42.22%,73.68%,57.78%,50.00%,22.61%,0.00%,NA,0.00%
2192,DeMarcus Cousins,Kentucky,2009,41.07%,73.91%,55.36%,35.48%,20.00%,3.57%,50.00%,33.33%
2193,Ryan Kelly,Duke,2009,0.00%,NA,40.00%,0.00%,18.18%,60.00%,33.33%,31.58%
2193,Ryan Kelly,Duke,2010,15.56%,71.43%,44.44%,40.00%,39.22%,40.00%,27.78%,26.87%
2193,Ryan Kelly,Duke,2011,25.49%,53.85%,39.22%,20.00%,26.32%,35.29%,33.33%,19.35%
2193,Ryan Kelly,Duke,2012,20.00%,45.45%,54.55%,40.00%,33.71%,25.45%,42.86%,16.87%
2194,Avery Bradley,Texas,2009,11.76%,66.67%,41.18%,19.05%,13.46%,47.06%,50.00%,22.86%
2195,John Wall,Kentucky,2009,23.91%,59.09%,35.87%,33.33%,29.46%,40.22%,21.62%,38.54%
2196,Lance Stephenson,Cincinnati,2009,22.45%,54.55%,48.98%,27.08%,33.57%,28.57%,17.86%,38.36%
2197,Xavier Henry,Kansas,2009,23.81%,73.33%,23.81%,33.33%,17.24%,52.38%,48.48%,22.76%
2198,Larry Sanders,VCU,2009,43.90%,66.67%,54.88%,33.33%,31.91%,1.22%,0.00%,6.25%
2199,Alex Oriakhi,Connecticut,2009,55.56%,53.33%,40.74%,18.18%,21.15%,3.70%,0.00%,100.00%
2199,Alex Oriakhi,Connecticut,2010,49.25%,42.42%,50.75%,29.41%,34.69%,0.00%,NA,NA
2199,Alex Oriakhi,Connecticut,2011,39.62%,61.90%,60.38%,34.38%,46.38%,0.00%,NA,NA
2199,Alex Oriakhi,Missouri,2012,78.57%,75.76%,21.43%,66.67%,19.57%,0.00%,NA,NA
2200,Peyton Siva,Louisville,2009,27.78%,60.00%,11.11%,0.00%,15.38%,61.11%,36.36%,25.00%
2200,Peyton Siva,Louisville,2010,23.08%,33.33%,23.08%,22.22%,24.32%,53.85%,19.05%,24.14%
2200,Peyton Siva,Louisville,2011,27.38%,56.52%,52.38%,25.00%,43.56%,20.24%,17.65%,24.64%
2200,Peyton Siva,Louisville,2012,20.63%,61.54%,41.27%,19.23%,34.67%,38.10%,16.67%,24.00%
2201,Baden Jaxen,North Carolina,2009,0.00%,NA,59.09%,46.15%,17.33%,40.91%,22.22%,31.03%
2201,Baden Jaxen,North Carolina,2010,23.81%,40.00%,61.90%,30.77%,15.66%,14.29%,33.33%,10.34%
2201,Baden Jaxen,North Carolina,2011,0.00%,NA,87.50%,42.86%,9.59%,12.50%,0.00%,50.00%
2201,Baden Jaxen,North Carolina,2012,7.14%,66.67%,80.95%,23.53%,25.37%,11.90%,20.00%,22.73%
2202,Dante Taylor,Pittsburgh,2009,70.00%,57.14%,30.00%,50.00%,60.00%,0.00%,NA,NA
2202,Dante Taylor,Pittsburgh,2010,72.41%,47.62%,27.59%,12.50%,61.54%,0.00%,NA,NA
2202,Dante Taylor,Pittsburgh,2011,62.16%,65.22%,37.84%,28.57%,41.18%,0.00%,NA,0.00%
2202,Dante Taylor,Pittsburgh,2012,54.84%,52.94%,45.16%,64.29%,46.67%,0.00%,NA,NA
2203,Maalik Wayns,Villanova,2009,28.57%,50.00%,32.14%,11.11%,20.45%,39.29%,18.18%,20.75%
2203,Maalik Wayns,Villanova,2010,12.22%,45.45%,45.56%,36.59%,37.96%,42.22%,21.05%,38.78%
2203,Maalik Wayns,Villanova,2011,25.71%,72.22%,41.43%,41.38%,25.00%,32.86%,30.43%,16.43%
2204,Milton Jennings,Clemson,2009,23.53%,75.00%,50.00%,41.18%,53.13%,26.47%,22.22%,25.71%
2204,Milton Jennings,Clemson,2010,23.53%,62.50%,44.12%,30.00%,44.78%,32.35%,31.82%,26.83%
2204,Milton Jennings,Clemson,2011,23.94%,52.94%,56.34%,30.00%,36.36%,19.72%,28.57%,29.17%
2204,Milton Jennings,Clemson,2012,15.28%,72.73%,40.28%,17.24%,39.19%,44.44%,28.13%,25.60%
2205,Dominic Cheek,Villanova,2009,42.86%,50.00%,14.29%,100.00%,8.33%,42.86%,0.00%,14.29%
2205,Dominic Cheek,Villanova,2010,8.82%,66.67%,44.12%,33.33%,51.72%,47.06%,37.50%,21.62%
2205,Dominic Cheek,Villanova,2011,15.52%,55.56%,34.48%,25.00%,28.17%,50.00%,27.59%,17.79%
2206,Kenny Boynton,Florida,2009,11.58%,36.36%,34.74%,45.45%,32.04%,53.68%,21.57%,20.82%
2206,Kenny Boynton,Florida,2010,11.30%,53.85%,26.96%,16.13%,32.29%,61.74%,35.21%,33.81%
2206,Kenny Boynton,Florida,2011,12.84%,42.86%,20.18%,27.27%,32.35%,66.97%,43.84%,27.04%
2206,Kenny Boynton,Florida,2012,14.46%,50.00%,15.66%,23.08%,21.67%,69.88%,31.03%,29.59%
2207,David Wear,North Carolina,2009,0.00%,NA,84.62%,27.27%,24.44%,15.38%,0.00%,14.29%
2207,David Wear,UCLA,2011,26.79%,53.33%,60.71%,32.35%,31.78%,12.50%,57.14%,26.92%
2207,David Wear,UCLA,2012,25.00%,61.54%,46.15%,25.00%,26.97%,28.85%,26.67%,34.88%
2207,David Wear,UCLA,2013,18.92%,85.71%,54.05%,50.00%,27.40%,27.03%,40.00%,19.23%
2208,Travis Wear,North Carolina,2009,6.25%,100.00%,87.50%,28.57%,18.18%,6.25%,0.00%,20.00%
2208,Travis Wear,UCLA,2011,40.26%,64.52%,58.44%,44.44%,44.12%,1.30%,100.00%,14.29%
2208,Travis Wear,UCLA,2012,7.58%,80.00%,84.85%,51.79%,30.77%,7.58%,20.00%,38.46%
2208,Travis Wear,UCLA,2013,19.57%,100.00%,65.22%,40.00%,25.42%,15.22%,57.14%,28.00%
2209,John Henson,North Carolina,2009,11.11%,100.00%,62.96%,35.29%,19.54%,25.93%,14.29%,41.18%
2209,John Henson,North Carolina,2010,40.00%,75.00%,57.50%,39.13%,14.38%,2.50%,0.00%,20.00%
2209,John Henson,North Carolina,2011,30.30%,40.00%,69.70%,39.13%,8.42%,0.00%,NA,NA
2210,Wally Judge,Kansas State,2009,43.48%,50.00%,56.52%,23.08%,23.64%,0.00%,NA,NA
2210,Wally Judge,Kansas State,2010,53.33%,62.50%,46.67%,42.86%,14.00%,0.00%,NA,NA
2210,Wally Judge,Rutgers,2012,40.00%,59.09%,60.00%,33.33%,42.31%,0.00%,NA,NA
2210,Wally Judge,Rutgers,2013,39.22%,55.00%,60.78%,32.26%,39.24%,0.00%,NA,0.00%
2211,Abdul Gaddy,Washington,2009,4.17%,100.00%,54.17%,30.77%,15.12%,41.67%,0.00%,50.00%
2211,Abdul Gaddy,Washington,2010,12.50%,0.00%,25.00%,100.00%,5.71%,62.50%,40.00%,15.63%
2211,Abdul Gaddy,Washington,2011,20.93%,44.44%,34.88%,13.33%,15.31%,44.19%,47.37%,21.59%
2211,Abdul Gaddy,Washington,2012,17.19%,45.45%,57.81%,32.43%,24.18%,25.00%,25.00%,21.33%
2212,Tiny Gallon,Oklahoma,2009,45.45%,64.00%,50.91%,35.71%,39.44%,3.64%,0.00%,11.76%
2213,Tommy Mason-Griffin,Oklahoma,2009,9.88%,25.00%,48.15%,23.08%,28.26%,41.98%,50.00%,22.22%
2214,Mason Plumlee,Duke,2009,60.00%,75.00%,40.00%,12.50%,22.86%,0.00%,NA,0.00%
2214,Mason Plumlee,Duke,2010,51.28%,80.00%,48.72%,31.58%,29.69%,0.00%,NA,0.00%
2214,Mason Plumlee,Duke,2011,48.94%,65.22%,51.06%,29.17%,28.57%,0.00%,NA,NA
2214,Mason Plumlee,Duke,2012,54.26%,80.39%,45.74%,48.84%,30.71%,0.00%,NA,NA
2215,Renardo Sidney,Mississippi State,2010,37.21%,31.25%,55.81%,54.17%,38.71%,6.98%,33.33%,15.00%
2215,Renardo Sidney,Mississippi State,2011,31.58%,54.17%,51.32%,46.15%,41.49%,17.11%,46.15%,36.11%
2216,Michael Snaer,Florida State,2009,21.05%,16.67%,45.61%,19.23%,31.33%,33.33%,42.11%,29.69%
2216,Michael Snaer,Florida State,2010,7.41%,50.00%,44.44%,25.00%,26.97%,48.15%,26.92%,23.42%
2216,Michael Snaer,Florida State,2011,17.53%,35.29%,38.14%,24.32%,29.84%,44.33%,48.84%,26.71%
2216,Michael Snaer,Florida State,2012,20.93%,66.67%,34.88%,40.00%,28.30%,44.19%,34.21%,24.68%
2217,Solomon Alabi,Florida State,2009,44.23%,69.57%,55.77%,48.28%,21.48%,0.00%,NA,NA
2218,Matt Bouldin,Gonzaga,2009,15.00%,75.00%,38.75%,32.26%,26.50%,46.25%,32.43%,23.72%
2219,Craig Brackins,Iowa State,2009,7.62%,50.00%,75.24%,37.97%,26.25%,17.14%,16.67%,20.69%
2255,Mouphtaou Yarou,Villanova,2009,60.00%,83.33%,40.00%,25.00%,18.18%,0.00%,NA,NA
2255,Mouphtaou Yarou,Villanova,2010,50.00%,51.85%,50.00%,37.04%,50.94%,0.00%,NA,NA
2255,Mouphtaou Yarou,Villanova,2011,29.03%,55.56%,70.97%,47.73%,28.76%,0.00%,NA,0.00%
2255,Mouphtaou Yarou,Villanova,2012,38.57%,55.56%,60.00%,42.86%,31.82%,1.43%,0.00%,100.00%
2256,Kawhi Leonard,San Diego State,2009,18.18%,78.57%,48.05%,37.84%,22.29%,33.77%,19.23%,33.33%
2256,Kawhi Leonard,San Diego State,2010,12.71%,80.00%,60.17%,32.39%,26.69%,27.12%,28.13%,39.51%
2257,Daniel Orton,Kentucky,2009,42.86%,66.67%,50.00%,28.57%,16.28%,7.14%,0.00%,50.00%
2258,Brandon Knight,Kentucky,2010,17.42%,55.56%,38.71%,31.67%,36.36%,43.87%,30.88%,29.44%
2259,Corey Fisher,Villanova,2009,27.91%,33.33%,37.21%,37.50%,18.39%,34.88%,33.33%,15.79%
2259,Corey Fisher,Villanova,2010,13.54%,53.85%,47.92%,39.13%,38.33%,38.54%,35.14%,28.03%
2260,Damion James,Texas,2009,19.35%,75.00%,50.00%,41.94%,18.24%,30.65%,36.84%,22.35%
2272,Kevin Dillard,Southern Illinois,2009,15.94%,45.45%,40.58%,46.43%,27.45%,43.48%,33.33%,30.93%
2272,Kevin Dillard,Dayton,2011,22.22%,60.71%,43.65%,30.91%,42.64%,34.13%,30.23%,35.83%
2272,Kevin Dillard,Dayton,2012,20.00%,60.00%,46.00%,30.43%,41.82%,34.00%,35.29%,24.46%
2273,Brandon Paul,Illinois,2009,11.76%,50.00%,33.33%,23.53%,22.37%,54.90%,21.43%,22.05%
2273,Brandon Paul,Illinois,2010,20.63%,30.77%,34.92%,9.09%,36.07%,44.44%,50.00%,23.53%
2273,Brandon Paul,Illinois,2011,17.12%,57.89%,37.84%,33.33%,32.06%,45.05%,34.00%,30.86%
2273,Brandon Paul,Illinois,2012,10.34%,50.00%,31.03%,41.67%,27.48%,58.62%,29.41%,28.33%
2277,Jordan Hulls,Indiana,2009,3.92%,0.00%,29.41%,40.00%,50.00%,66.67%,41.18%,29.06%
2277,Jordan Hulls,Indiana,2010,10.34%,33.33%,51.72%,48.89%,50.56%,37.93%,45.45%,24.81%
2277,Jordan Hulls,Indiana,2011,10.98%,44.44%,36.59%,40.00%,28.57%,52.44%,46.51%,29.45%
2277,Jordan Hulls,Indiana,2012,5.13%,50.00%,38.46%,33.33%,24.59%,56.41%,50.00%,13.84%
2279,Manny Harris,Michigan,2009,12.90%,43.75%,47.58%,28.81%,32.24%,39.52%,26.53%,31.41%
2280,Terrico White,Ole Miss,2009,15.38%,50.00%,36.54%,42.11%,14.96%,48.08%,32.00%,18.38%
2282,Brandon Triche,Syracuse,2009,37.50%,50.00%,31.25%,20.00%,13.51%,31.25%,0.00%,8.06%
2282,Brandon Triche,Syracuse,2010,14.55%,37.50%,29.09%,37.50%,20.78%,56.36%,29.03%,21.68%
2282,Brandon Triche,Syracuse,2012,21.11%,57.89%,41.11%,35.14%,26.24%,37.78%,20.59%,20.00%
2283,Jonathan Mitchell,Rutgers,2009,10.48%,36.36%,40.95%,32.56%,34.96%,48.57%,31.37%,34.23%
2283,Jonathan Mitchell,Rutgers,2010,14.88%,61.11%,40.50%,40.82%,34.51%,44.63%,38.89%,41.54%
2284,Raymar Morgan,Michigan State,2009,37.21%,56.25%,53.49%,30.43%,19.66%,9.30%,50.00%,25.00%
2298,Patrick Christopher,California,2009,13.00%,61.54%,51.00%,37.25%,29.14%,36.00%,33.33%,21.82%
2300,Bryan Davis,Texas A&M,2009,64.29%,66.67%,35.71%,25.00%,27.78%,0.00%,NA,NA
2301,Malcolm Delaney,Virginia Tech,2009,20.72%,34.78%,30.63%,26.47%,27.42%,48.65%,20.37%,28.57%
2301,Malcolm Delaney,Virginia Tech,2010,16.22%,55.56%,30.63%,26.47%,26.15%,53.15%,38.98%,30.41%
2302,Devin Ebanks,West Virginia,2009,21.21%,38.10%,64.65%,28.13%,43.24%,14.14%,0.00%,50.00%
2303,Kenneth Faried,Morehead State,2009,50.45%,71.43%,48.65%,31.48%,43.20%,0.90%,0.00%,33.33%
2303,Kenneth Faried,Morehead State,2010,54.46%,61.82%,45.54%,34.78%,38.98%,0.00%,NA,NA
2304,Roderick Flemings,Hawaii,2009,10.07%,57.14%,67.63%,36.17%,40.34%,22.30%,19.35%,41.33%
2305,Paul George,Fresno State,2009,20.00%,58.82%,29.41%,36.00%,29.41%,50.59%,32.56%,25.75%
2306,Marcus Ginyard,North Carolina,2009,6.25%,100.00%,50.00%,31.25%,18.18%,43.75%,28.57%,19.18%
2307,Luke Harangody,Notre Dame,2009,26.28%,58.54%,60.90%,38.95%,37.85%,12.82%,20.00%,25.00%
2308,Lazar Hayward,Marquette,2009,13.87%,63.16%,42.34%,27.59%,30.85%,43.80%,26.67%,33.90%
2309,Robbie Hummel,Purdue,2009,4.48%,100.00%,53.73%,52.78%,26.28%,41.79%,32.14%,24.35%
2309,Robbie Hummel,Purdue,2011,7.14%,55.56%,54.76%,39.13%,27.60%,38.10%,29.17%,25.53%
2310,JaJuan Johnson,Purdue,2009,18.84%,69.23%,81.16%,30.36%,21.46%,0.00%,NA,0.00%
2310,JaJuan Johnson,Purdue,2010,7.02%,50.00%,85.96%,40.82%,26.56%,7.02%,50.00%,17.78%
2311,Jerome Jordan,Tulsa,2009,28.57%,77.27%,71.43%,40.00%,30.56%,0.00%,NA,NA
2312,Dwight Lewis,USC,2009,7.26%,33.33%,49.19%,42.62%,40.67%,43.55%,25.93%,42.52%
2313,Kalin Lucas,Michigan State,2009,24.68%,47.37%,44.16%,44.12%,24.11%,31.17%,33.33%,26.67%
2313,Kalin Lucas,Michigan State,2010,25.53%,50.00%,43.62%,41.46%,22.91%,30.85%,55.17%,22.66%
2315,A.J. Ogilvy,Vanderbilt,2009,58.14%,48.00%,41.86%,22.22%,25.35%,0.00%,NA,NA
2316,Arinze Onuaku,Syracuse,2009,53.57%,93.33%,46.43%,38.46%,22.41%,0.00%,NA,NA
2317,Quincy Pondexter,Washington,2009,12.24%,58.33%,70.41%,42.03%,25.56%,17.35%,58.82%,33.33%
2318,Stanley Robinson,Connecticut,2009,21.74%,53.33%,44.93%,38.71%,21.83%,33.33%,30.43%,31.94%
2319,Magnum Rolle,Louisiana Tech,2009,29.11%,56.52%,70.89%,33.93%,32.00%,0.00%,NA,NA
2321,Mac Koshwal,DePaul,2009,47.50%,50.00%,52.50%,30.95%,52.50%,0.00%,NA,NA
2322,Tyler Smith,Tennessee,2009,58.33%,42.86%,33.33%,50.00%,16.67%,8.33%,0.00%,33.33%
2323,Tyshawn Taylor,Kansas,2009,28.21%,54.55%,46.15%,33.33%,32.73%,25.64%,20.00%,21.28%
2323,Tyshawn Taylor,Kansas,2010,19.44%,42.86%,52.78%,26.32%,20.65%,27.78%,70.00%,23.26%
2323,Tyshawn Taylor,Kansas,2011,24.74%,62.50%,35.05%,41.18%,19.88%,40.21%,35.90%,26.00%
2324,Deon Thompson,North Carolina,2009,15.22%,71.43%,82.61%,39.47%,13.15%,2.17%,0.00%,50.00%
2325,Evan Turner,Ohio State,2009,19.40%,69.23%,67.16%,35.56%,21.95%,13.43%,22.22%,20.45%
2326,Jarvis Varnado,Mississippi State,2009,44.94%,70.00%,55.06%,44.90%,36.03%,0.00%,NA,NA
2327,Greivis Vasquez,Maryland,2009,11.82%,46.15%,46.36%,35.29%,25.37%,41.82%,36.96%,24.73%
2330,Michael Washington,Arkansas,2009,42.42%,60.71%,37.88%,44.00%,26.88%,19.70%,23.08%,50.00%
2331,Nic Wise,Arizona,2009,14.94%,61.54%,40.23%,22.86%,28.00%,44.83%,38.46%,28.06%
2347,Jamal Boykin,California,2009,24.36%,78.95%,74.36%,46.55%,31.02%,1.28%,0.00%,33.33%
2349,Ray Shipman,Florida,2009,22.22%,50.00%,44.44%,37.50%,38.10%,33.33%,33.33%,33.33%
2352,Mike Mercer,South Florida,2009,24.36%,68.42%,56.41%,25.00%,43.56%,19.23%,20.00%,30.61%
2353,Gary Johnson,Texas,2009,30.77%,58.33%,66.67%,57.69%,22.81%,2.56%,100.00%,100.00%
2353,Gary Johnson,Texas,2010,16.42%,45.45%,83.58%,42.86%,27.72%,0.00%,NA,0.00%
2354,E'Twaun Moore,Purdue,2009,9.80%,50.00%,58.82%,31.67%,26.09%,31.37%,28.13%,24.06%
2354,E'Twaun Moore,Purdue,2010,5.71%,33.33%,59.05%,33.87%,28.57%,35.24%,37.84%,22.98%
2355,Alex Legion,Illinois,2009,0.00%,NA,0.00%,NA,0.00%,100.00%,0.00%,15.79%
2355,Alex Legion,Florida International,2010,7.69%,100.00%,38.46%,20.00%,13.89%,53.85%,57.14%,12.07%
2356,Senario Hillman,Alabama,2009,20.83%,15.00%,52.08%,26.00%,46.73%,27.08%,26.92%,41.27%
2356,Senario Hillman,Alabama,2010,21.33%,43.75%,45.33%,29.41%,35.05%,33.33%,12.00%,44.64%
2357,Rick Jackson,Syracuse,2009,57.14%,62.50%,42.86%,50.00%,20.69%,0.00%,NA,NA
2357,Rick Jackson,Syracuse,2010,60.00%,66.67%,40.00%,37.50%,20.51%,0.00%,NA,NA
2358,Delvon Roe,Michigan State,2009,36.11%,69.23%,63.89%,30.43%,42.59%,0.00%,NA,NA
2358,Delvon Roe,Michigan State,2010,48.72%,68.42%,51.28%,25.00%,43.48%,0.00%,NA,NA
2359,Durrell Summers,Michigan State,2009,17.50%,100.00%,40.00%,43.75%,14.04%,42.50%,29.41%,18.89%
2359,Durrell Summers,Michigan State,2010,10.71%,33.33%,33.93%,26.32%,22.09%,55.36%,25.81%,18.34%
2360,Herb Pope,Seton Hall,2009,38.46%,60.00%,56.92%,32.43%,30.83%,4.62%,0.00%,17.65%
2360,Herb Pope,Seton Hall,2010,45.28%,58.33%,43.40%,43.48%,28.05%,11.32%,33.33%,21.43%
2360,Herb Pope,Seton Hall,2011,55.56%,54.55%,34.34%,44.12%,36.56%,10.10%,40.00%,22.22%
2361,Jon Diebler,Ohio State,2009,1.39%,100.00%,18.06%,30.77%,48.15%,80.56%,39.66%,25.44%
2361,Jon Diebler,Ohio State,2010,10.14%,42.86%,11.59%,62.50%,42.11%,78.26%,46.30%,28.27%
2362,Leslie McDonald,North Carolina,2009,4.17%,100.00%,50.00%,16.67%,23.53%,45.83%,18.18%,22.92%
2362,Leslie McDonald,North Carolina,2010,20.00%,25.00%,20.00%,0.00%,8.16%,60.00%,58.33%,11.43%
2362,Leslie McDonald,North Carolina,2012,3.70%,0.00%,33.33%,33.33%,15.25%,62.96%,41.18%,17.89%
2362,Leslie McDonald,North Carolina,2013,4.35%,100.00%,21.74%,0.00%,8.06%,73.91%,29.41%,13.49%
2363,Trey Thompkins,Georgia,2009,28.68%,66.67%,51.47%,38.57%,33.82%,19.85%,40.74%,45.00%
2363,Trey Thompkins,Georgia,2010,23.48%,77.78%,59.13%,27.94%,33.33%,17.39%,25.00%,27.03%
2364,Darius Miller,Kentucky,2009,2.86%,100.00%,42.86%,53.33%,26.79%,54.29%,42.11%,16.96%
2364,Darius Miller,Kentucky,2010,10.48%,72.73%,47.62%,32.00%,35.71%,41.90%,43.18%,33.59%
