GMID,Name,School,Year,Grade,AST,PercATrans,PercARim,PercA2PJ,PercA3P,PercADunks,TO,PercTOFoul,PercTOStea,PercTOMisc
9496,Sammy Schafer,Air Force,2009,So,3,0.00%,33.33%,0.00%,66.67%,0.00%,3,33.33%,66.67%,0.00%
9498,Taylor Stewart,Air Force,2009,So,12,25.00%,75.00%,8.33%,16.67%,8.33%,17,5.88%,58.82%,35.29%
9487,Evan Washington,Air Force,2009,Jr,94,24.47%,44.68%,10.64%,44.68%,4.26%,65,12.31%,50.77%,36.92%
11186,Mike Bardo,Akron,2009,Jr,4,0.00%,50.00%,0.00%,50.00%,0.00%,9,11.11%,44.44%,44.44%
11191,Tim Carroll,Akron,2009,Sr,2,50.00%,100.00%,0.00%,0.00%,0.00%,4,0.00%,75.00%,25.00%
11184,Jimmy Conyers,Akron,2009,Sr,50,26.00%,42.00%,24.00%,34.00%,4.00%,66,6.06%,48.48%,45.45%
11187,Nikola Cvetinovic,Akron,2009,So,39,20.51%,46.15%,12.82%,41.03%,10.26%,60,1.67%,36.67%,61.67%
9441,Anthony Hitchens,Akron,2009,So,91,28.57%,50.55%,14.29%,35.16%,12.09%,56,1.79%,62.50%,35.71%
11192,Zeke Marshall,Akron,2009,Fr,17,0.00%,52.94%,17.65%,29.41%,0.00%,51,5.88%,52.94%,41.18%
11180,Brett McClanahan,Akron,2009,So,25,16.00%,40.00%,16.00%,44.00%,8.00%,22,0.00%,50.00%,50.00%
11179,Brett McKnight,Akron,2009,Jr,43,18.60%,48.84%,11.63%,37.21%,4.65%,43,9.30%,53.49%,37.21%
11182,Chris McKnight,Akron,2009,Sr,49,18.37%,34.69%,14.29%,51.02%,0.00%,51,5.88%,50.98%,43.14%
11190,Steve McNees,Akron,2009,Jr,86,26.74%,34.88%,24.42%,40.70%,6.98%,41,0.00%,58.54%,41.46%
11185,Kyle Petersen,Akron,2009,So,0,NA,NA,NA,NA,NA,1,0.00%,0.00%,100.00%
11183,Darryl Roberts,Akron,2009,Jr,51,31.37%,45.10%,15.69%,37.25%,0.00%,33,6.06%,54.55%,39.39%
11188,Ronnie Steward,Akron,2009,Fr,15,33.33%,13.33%,33.33%,53.33%,0.00%,19,0.00%,52.63%,47.37%
11178,Alex Sullivan,Akron,2009,Fr,1,0.00%,100.00%,0.00%,0.00%,0.00%,2,0.00%,100.00%,0.00%
11189,Steve Swiech,Akron,2009,So,0,NA,NA,NA,NA,NA,0,NA,NA,NA
14647,Antonio Adams,Alabama A&M ,2009,Fr,0,NA,NA,NA,NA,NA,5,0.00%,40.00%,60.00%
14648,Bo Amusa,Alabama A&M ,2009,Jr,19,47.37%,63.16%,5.26%,26.32%,10.53%,31,9.68%,51.61%,38.71%
14661,Pierre Andrews,Alabama A&M ,2009,So,0,NA,NA,NA,NA,NA,3,33.33%,33.33%,33.33%
14649,Casey Cantey,Alabama A&M ,2009,So,30,23.33%,33.33%,23.33%,43.33%,3.33%,68,10.29%,39.71%,50.00%
14653,Jabari Deshields,Alabama A&M ,2009,Jr,63,49.21%,38.10%,30.16%,31.75%,4.76%,57,5.26%,52.63%,42.11%
14646,Alfred Frayer,Alabama A&M ,2009,Jr,0,NA,NA,NA,NA,NA,6,0.00%,50.00%,50.00%
14663,Royce Hamilton,Alabama A&M ,2009,So,0,NA,NA,NA,NA,NA,2,0.00%,0.00%,100.00%
14650,Cornelius Hester,Alabama A&M ,2009,RS-Sr,38,31.58%,57.89%,23.68%,18.42%,13.16%,38,2.63%,71.05%,26.32%
14652,Evan Hilton,Alabama A&M ,2009,Sr,23,39.13%,65.22%,13.04%,21.74%,13.04%,53,11.32%,47.17%,41.51%
14655,Jonathan Inman,Alabama A&M ,2009,RS-Sr,16,12.50%,50.00%,12.50%,37.50%,6.25%,30,16.67%,30.00%,53.33%
14651,Desmond Jackson,Alabama A&M ,2009,Jr,11,36.36%,63.64%,18.18%,18.18%,18.18%,23,0.00%,65.22%,34.78%
14660,Maurice Kemp,Alabama A&M ,2009,Fr,13,30.77%,30.77%,46.15%,23.08%,7.69%,26,15.38%,38.46%,46.15%
14659,Marcus Lee,Alabama A&M ,2009,Fr,44,47.73%,34.09%,27.27%,38.64%,4.55%,55,7.27%,65.45%,27.27%
14662,Reggie Porter,Alabama A&M ,2009,Jr,17,17.65%,23.53%,29.41%,47.06%,0.00%,20,0.00%,65.00%,35.00%
14657,Khiry White,Alabama A&M ,2009,RS-Fr,0,NA,NA,NA,NA,NA,1,0.00%,100.00%,0.00%
14645,Adam Young,Alabama A&M ,2009,Fr,14,35.71%,57.14%,14.29%,28.57%,14.29%,19,15.79%,42.11%,42.11%
14725,Stephawn Brown,Alabama State,2009,Fr,1,100.00%,0.00%,0.00%,0.00%,0.00%,2,0.00%,100.00%,0.00%
14726,Tramaine Butler,Alabama State,2009,RS-Jr,70,30.00%,45.71%,22.86%,31.43%,5.71%,77,12.99%,51.95%,35.06%
14714,Chris Duncan,Alabama State,2009,Jr,18,16.67%,16.67%,22.22%,61.11%,0.00%,37,10.81%,54.05%,35.14%
14719,Jevon Freeman,Alabama State,2009,Jr,13,15.38%,15.38%,23.08%,61.54%,0.00%,13,0.00%,38.46%,61.54%
14720,Jordan Jefferson,Alabama State,2009,RS-Fr,0,NA,NA,NA,NA,NA,1,0.00%,0.00%,100.00%
14715,Derrick Johnson,Alabama State,2009,So,1,0.00%,100.00%,0.00%,0.00%,0.00%,1,0.00%,0.00%,100.00%
14718,Jeffery Middlebrooks,Alabama State,2009,So,68,23.53%,30.88%,17.65%,51.47%,1.47%,42,2.38%,59.52%,38.10%
14724,Sekari Milligen,Alabama State,2009,So,10,40.00%,50.00%,0.00%,50.00%,0.00%,19,5.26%,57.89%,36.84%
14727,Tramyne Moorer,Alabama State,2009,Jr,22,31.82%,50.00%,13.64%,36.36%,0.00%,71,11.27%,45.07%,43.66%
14717,Jadarren Mumpfield,Alabama State,2009,Jr,14,7.14%,21.43%,35.71%,42.86%,0.00%,11,0.00%,45.45%,54.55%
14721,Menji Mundadi,Alabama State,2009,Sr,27,37.04%,48.15%,29.63%,22.22%,22.22%,53,7.55%,50.94%,41.51%
14722,Robert Sanders,Alabama State,2009,Jr,15,13.33%,20.00%,6.67%,73.33%,6.67%,32,12.50%,46.88%,40.63%
14712,A.J. Spencer,Alabama State,2009,Jr,97,30.93%,28.87%,32.99%,38.14%,6.19%,50,4.00%,50.00%,46.00%
14407,Byron Walker,Alabama State,2009,Sr,12,16.67%,33.33%,16.67%,50.00%,0.00%,40,7.50%,45.00%,47.50%
14723,Ryan Watts,Alabama State,2009,Fr,11,36.36%,36.36%,18.18%,36.36%,18.18%,17,0.00%,41.18%,58.82%
14716,Ivory White,Alabama State,2009,So,21,19.05%,28.57%,19.05%,52.38%,0.00%,22,4.55%,54.55%,40.91%
5496,Anthony Brock,Alabama,2009,Sr,72,34.72%,50.00%,13.89%,36.11%,18.06%,38,5.26%,63.16%,31.58%
5502,Greg Cage,Alabama,2009,Sr,1,100.00%,0.00%,100.00%,0.00%,0.00%,1,0.00%,100.00%,0.00%
5498,Charvez Davis,Alabama,2009,Jr,21,42.86%,19.05%,57.14%,23.81%,0.00%,22,4.55%,59.09%,36.36%
44725,Chris Dixon,Alabama,2009,Fr,0,NA,NA,NA,NA,NA,0,NA,NA,NA
5497,Ben Eblen,Alabama,2009,Fr,14,21.43%,35.71%,21.43%,42.86%,14.29%,12,0.00%,50.00%,50.00%
2187,JaMychal Green,Alabama,2009,So,33,27.27%,36.36%,30.30%,33.33%,6.06%,79,12.66%,35.44%,51.90%
2356,Senario Hillman,Alabama,2009,Jr,67,31.34%,59.70%,16.42%,23.88%,16.42%,63,1.59%,44.44%,53.97%
5499,Chris Hines,Alabama,2009,Jr,13,30.77%,46.15%,15.38%,38.46%,23.08%,40,17.50%,40.00%,42.50%
5503,Justin Knox,Alabama,2009,Jr,22,31.82%,50.00%,9.09%,40.91%,9.09%,35,20.00%,34.29%,45.71%
5504,Justin Luquire,Alabama,2009,Sr,0,NA,NA,NA,NA,NA,0,NA,NA,NA
5506,Tony Mitchell,Alabama,2009,Fr,17,41.18%,47.06%,29.41%,23.53%,0.00%,20,15.00%,45.00%,40.00%
5495,Andrew Steele,Alabama,2009,RS-So,7,28.57%,42.86%,28.57%,28.57%,14.29%,9,11.11%,66.67%,22.22%
5505,Mikhail Torrance,Alabama,2009,Sr,162,41.98%,41.98%,18.52%,39.51%,17.90%,86,8.14%,50.00%,41.86%
17582,Billy Allen,Albany,2009,So,17,29.41%,29.41%,17.65%,52.94%,5.88%,16,0.00%,43.75%,56.25%
17596,Tim Ambrose,Albany,2009,Jr,90,25.56%,35.56%,27.78%,36.67%,3.33%,100,13.00%,64.00%,23.00%
17590,Logan Aronhalt,Albany,2009,Fr,22,22.73%,0.00%,27.27%,72.73%,0.00%,45,8.89%,51.11%,40.00%
17591,Louis Barraza,Albany,2009,Jr,0,NA,NA,NA,NA,NA,4,0.00%,50.00%,50.00%
17593,Mike Black,Albany,2009,Fr,74,33.78%,32.43%,20.27%,47.30%,4.05%,69,13.04%,42.03%,44.93%
17584,Brett Gifford,Albany,2009,Sr,18,5.56%,44.44%,22.22%,33.33%,5.56%,29,10.34%,34.48%,55.17%
4414,Will Harris,Albany,2009,Sr,30,13.33%,33.33%,40.00%,26.67%,0.00%,54,25.93%,35.19%,38.89%
17592,Mike Johnson,Albany,2009,Sr,56,37.50%,33.93%,25.00%,41.07%,5.36%,42,11.90%,50.00%,38.10%
17588,Jake Lindfors,Albany,2009,RS-Fr,4,25.00%,25.00%,50.00%,25.00%,0.00%,14,7.14%,50.00%,42.86%
17595,Scotty McRae,Albany,2009,Sr,21,9.52%,42.86%,19.05%,33.33%,4.76%,45,22.22%,51.11%,26.67%
17583,Blake Metcalf,Albany,2009,Fr,11,27.27%,63.64%,9.09%,27.27%,0.00%,24,16.67%,54.17%,29.17%
17585,Derrek Tartt,Albany,2009,Fr,23,30.43%,26.09%,8.70%,65.22%,4.35%,34,11.76%,61.76%,26.47%
17586,Fran Urli,Albany,2009,Jr,14,14.29%,42.86%,28.57%,28.57%,0.00%,29,3.45%,51.72%,44.83%
14783,Corey Anthony,Alcorn State,2009,So,10,10.00%,30.00%,40.00%,30.00%,10.00%,22,0.00%,27.27%,72.73%
14785,Derrick Blackwell,Alcorn State,2009,Jr,44,40.91%,38.64%,34.09%,27.27%,4.55%,54,5.56%,48.15%,46.30%
14786,Gifford Blakely,Alcorn State,2009,RS-Sr,0,NA,NA,NA,NA,NA,2,0.00%,50.00%,50.00%
9460,Jonathan Boyd,Alcorn State,2009,RS-Sr,40,35.00%,42.50%,30.00%,27.50%,7.50%,72,1.39%,50.00%,48.61%
14795,Tony Eackles,Alcorn State,2009,Fr,11,36.36%,18.18%,45.45%,36.36%,0.00%,44,18.18%,61.36%,20.45%
14787,Ian Francis,Alcorn State,2009,Fr,23,30.43%,34.78%,30.43%,34.78%,4.35%,71,7.04%,53.52%,39.44%
14789,JaMarkus Holt,Alcorn State,2009,RS-Sr,15,26.67%,53.33%,13.33%,33.33%,6.67%,62,12.90%,43.55%,43.55%
14794,Shauvanta Ingram,Alcorn State,2009,Fr,14,50.00%,50.00%,35.71%,14.29%,14.29%,37,2.70%,64.86%,32.43%
14793,Michael Martin,Alcorn State,2009,Fr,4,0.00%,75.00%,0.00%,25.00%,0.00%,14,21.43%,14.29%,64.29%
14788,Jamar Ragland,Alcorn State,2009,Fr,10,40.00%,40.00%,10.00%,50.00%,0.00%,25,12.00%,68.00%,20.00%
14782,Brandon Rogers,Alcorn State,2009,RS-Sr,29,34.48%,13.79%,34.48%,51.72%,0.00%,65,7.69%,41.54%,50.77%
14781,Alex Savannah,Alcorn State,2009,So,31,25.81%,54.84%,22.58%,22.58%,16.13%,39,5.13%,64.10%,30.77%
14790,Keith Searcy,Alcorn State,2009,Fr,37,40.54%,27.03%,18.92%,54.05%,5.41%,102,4.90%,45.10%,50.00%
14792,Michael Starks,Alcorn State,2009,Fr,1,0.00%,100.00%,0.00%,0.00%,0.00%,22,4.55%,27.27%,68.18%
16942,Mike Bersch,American University,2009,Fr,6,16.67%,16.67%,66.67%,16.67%,0.00%,9,22.22%,44.44%,33.33%
16939,Jordan Borucki,American University,2009,Fr,0,NA,NA,NA,NA,NA,0,NA,NA,NA
16935,Daniel Fisher,American University,2009,Fr,5,0.00%,60.00%,20.00%,20.00%,0.00%,6,0.00%,66.67%,33.33%
16944,Riley Grafft,American University,2009,So,21,4.76%,33.33%,23.81%,42.86%,0.00%,46,15.22%,54.35%,30.43%
16943,Nick Hendra,American University,2009,Jr,81,14.81%,51.85%,24.69%,23.46%,7.41%,80,11.25%,50.00%,38.75%
16938,Joe Hill (2),American University,2009,So,13,7.69%,53.85%,15.38%,30.77%,15.38%,9,0.00%,66.67%,33.33%
16937,Jeff Holton,American University,2009,Fr,1,100.00%,0.00%,0.00%,100.00%,0.00%,2,0.00%,100.00%,0.00%
16934,Blake Jolivette,American University,2009,Fr,34,32.35%,35.29%,14.71%,50.00%,5.88%,46,0.00%,45.65%,54.35%
16946,Stephen Lumpkins,American University,2009,So,39,2.56%,46.15%,7.69%,46.15%,0.00%,42,14.29%,42.86%,42.86%
16947,Steve Luptak,American University,2009,Jr,41,19.51%,31.71%,7.32%,60.98%,2.44%,20,10.00%,70.00%,20.00%
16945,Simon McCormack,American University,2009,So,68,14.71%,42.65%,25.00%,32.35%,4.41%,65,13.85%,53.85%,32.31%
16948,Vlad Moldoveanu,American University,2009,So,45,11.11%,51.11%,13.33%,35.56%,13.33%,53,22.64%,49.06%,28.30%
16936,Daniel Munoz (2),American University,2009,Fr,70,24.29%,37.14%,18.57%,44.29%,4.29%,56,0.00%,73.21%,26.79%
16941,Matthew Wilson,American University,2009,Jr,23,17.39%,34.78%,26.09%,39.13%,0.00%,17,11.76%,35.29%,52.94%
20990,Ryann Abraham,Appalachian State,2009,Sr,94,46.81%,39.36%,15.96%,44.68%,4.26%,60,6.67%,51.67%,41.67%
20981,J.R. Archer,Appalachian State,2009,Jr,1,0.00%,100.00%,0.00%,0.00%,0.00%,2,0.00%,50.00%,50.00%
20983,Jeremi Booth,Appalachian State,2009,Jr,36,25.00%,36.11%,16.67%,47.22%,5.56%,38,5.26%,60.53%,34.21%
20986,Kellen Brand,Appalachian State,2009,Sr,78,28.21%,39.74%,12.82%,47.44%,2.56%,82,4.88%,35.37%,59.76%
20980,Isaac Butts,Appalachian State,2009,Jr,34,11.76%,26.47%,20.59%,52.94%,2.94%,71,11.27%,38.03%,50.70%
20988,Nathan Healy,Appalachian State,2009,Fr,7,14.29%,57.14%,14.29%,28.57%,0.00%,22,0.00%,72.73%,27.27%
20978,A.J. Highsmith,Appalachian State,2009,Sr,3,0.00%,66.67%,0.00%,33.33%,0.00%,5,0.00%,40.00%,60.00%
20985,Josh Hunter,Appalachian State,2009,Sr,40,10.00%,42.50%,15.00%,42.50%,5.00%,49,6.12%,36.73%,57.14%
20982,Jacob Lail,Appalachian State,2009,So,0,NA,NA,NA,NA,NA,1,0.00%,0.00%,100.00%
20984,Josh Nirenberg,Appalachian State,2009,Fr,1,0.00%,0.00%,0.00%,100.00%,0.00%,4,0.00%,75.00%,25.00%
9581,Donald Sims,Appalachian State,2009,Jr,84,40.48%,28.57%,17.86%,53.57%,2.38%,90,2.22%,60.00%,37.78%
20991,Tyler Webb,Appalachian State,2009,Sr,7,0.00%,28.57%,71.43%,0.00%,0.00%,13,0.00%,61.54%,38.46%
20979,Andre Williamson,Appalachian State,2009,So,18,27.78%,33.33%,11.11%,55.56%,0.00%,39,5.13%,58.97%,35.90%
20987,Marcus Wright,Appalachian State,2009,So,44,31.82%,45.45%,15.91%,38.64%,0.00%,55,1.82%,52.73%,45.45%
6680,Ty Abbott,Arizona State,2009,Jr,51,21.57%,45.10%,15.69%,39.22%,13.73%,50,16.00%,44.00%,40.00%
1954,Eric Boateng,Arizona State,2009,Sr,30,3.33%,33.33%,10.00%,56.67%,0.00%,69,24.64%,21.74%,53.62%
4734,Derek Glasser,Arizona State,2009,Sr,158,33.54%,34.18%,12.66%,53.16%,6.96%,73,4.11%,61.64%,34.25%
6682,Marcus Jackson,Arizona State,2009,Fr,2,100.00%,0.00%,50.00%,50.00%,0.00%,0,NA,NA,NA
6676,Rihards Kuksiks,Arizona State,2009,Jr,58,20.69%,39.66%,17.24%,43.10%,6.90%,41,12.20%,58.54%,29.27%
6679,Trent Lockett,Arizona State,2009,Fr,28,39.29%,39.29%,14.29%,46.43%,3.57%,49,8.16%,48.98%,42.86%
6674,Jamelle McMillan,Arizona State,2009,Jr,81,29.63%,33.33%,12.35%,54.32%,6.17%,33,6.06%,63.64%,30.30%
6677,Ruslan Pateev,Arizona State,2009,Fr,8,12.50%,12.50%,12.50%,75.00%,0.00%,10,30.00%,20.00%,50.00%
6678,Taylor Rohde,Arizona State,2009,So,4,50.00%,0.00%,0.00%,100.00%,0.00%,8,12.50%,37.50%,50.00%
6681,Victor Rudd,Arizona State,2009,Fr,3,33.33%,0.00%,0.00%,100.00%,0.00%,5,0.00%,40.00%,60.00%
6675,Jerren Shipp,Arizona State,2009,Sr,17,29.41%,35.29%,11.76%,52.94%,11.76%,19,5.26%,36.84%,57.89%
6671,Brandon Thompson,Arizona State,2009,Fr,3,66.67%,66.67%,0.00%,33.33%,33.33%,3,0.00%,100.00%,0.00%
6673,Demetrius Walker,Arizona State,2009,Fr,18,16.67%,61.11%,11.11%,27.78%,5.56%,22,13.64%,63.64%,22.73%
6649,Kyle Fogg,Arizona,2009,So,68,32.35%,48.53%,14.71%,36.76%,22.06%,66,4.55%,54.55%,40.91%
6653,Solomon Hill,Arizona,2009,Fr,52,21.15%,38.46%,19.23%,42.31%,7.69%,63,4.76%,39.68%,55.56%
6647,Jamelle Horne,Arizona,2009,Jr,36,13.89%,50.00%,22.22%,27.78%,8.33%,52,9.62%,48.08%,42.31%
6641,Alex Jacobson,Arizona,2009,So,0,NA,NA,NA,NA,NA,8,37.50%,12.50%,50.00%
2540,Lamont Jones,Arizona,2009,Fr,47,25.53%,23.40%,21.28%,55.32%,8.51%,41,2.44%,26.83%,70.73%
6646,Garland Judkins,Arizona,2009,RS-So,2,50.00%,50.00%,50.00%,0.00%,0.00%,4,0.00%,50.00%,50.00%
6642,Brendon Lavender,Arizona,2009,So,21,9.52%,28.57%,0.00%,61.90%,4.76%,19,5.26%,63.16%,31.58%
6650,Kyryl Natyazhko,Arizona,2009,Fr,2,0.00%,0.00%,0.00%,100.00%,0.00%,20,20.00%,30.00%,50.00%
6648,Kevin Parrom,Arizona,2009,Fr,29,41.38%,27.59%,20.69%,51.72%,10.34%,21,9.52%,38.10%,52.38%
6643,D.J. Shumpert,Arizona,2009,So,2,0.00%,50.00%,0.00%,50.00%,0.00%,4,0.00%,50.00%,50.00%
6644,Derrick Williams,Arizona,2009,Fr,22,13.64%,50.00%,9.09%,40.91%,4.55%,60,21.67%,33.33%,45.00%
6645,Dondre Wise,Arizona,2009,So,0,NA,NA,NA,NA,NA,0,NA,NA,NA
2331,Nic Wise,Arizona,2009,Sr,103,30.10%,35.92%,14.56%,49.51%,8.74%,73,4.11%,42.47%,53.42%
14852,Hugh Barnett,Arkansas-Pine Bluff ,2009,Sr,1,0.00%,0.00%,100.00%,0.00%,0.00%,9,11.11%,44.44%,44.44%
14858,Terrance Calvin,Arkansas-Pine Bluff ,2009,Sr,132,34.09%,52.27%,15.91%,31.82%,12.88%,106,6.60%,49.06%,44.34%
14856,Stephan Collins,Arkansas-Pine Bluff ,2009,Fr,4,25.00%,75.00%,0.00%,25.00%,0.00%,12,8.33%,16.67%,75.00%
14851,George Davis,Arkansas-Pine Bluff ,2009,Sr,14,50.00%,57.14%,28.57%,14.29%,21.43%,32,12.50%,46.88%,40.63%
14861,Tyrees Glass,Arkansas-Pine Bluff ,2009,Sr,27,14.81%,33.33%,25.93%,40.74%,0.00%,70,18.57%,37.14%,44.29%
14859,Terrell Kennedy,Arkansas-Pine Bluff ,2009,So,12,8.33%,50.00%,8.33%,41.67%,25.00%,11,45.45%,9.09%,45.45%
14847,Antoni Lasker,Arkansas-Pine Bluff ,2009,So,1,0.00%,0.00%,100.00%,0.00%,0.00%,5,0.00%,60.00%,40.00%
14862,Vincent Martin,Arkansas-Pine Bluff ,2009,Fr,4,25.00%,50.00%,0.00%,50.00%,0.00%,4,0.00%,75.00%,25.00%
14850,Gavin Montgomery,Arkansas-Pine Bluff ,2009,Jr,7,57.14%,57.14%,0.00%,42.86%,14.29%,11,0.00%,63.64%,36.36%
14849,Dominic Moore,Arkansas-Pine Bluff ,2009,Jr,9,22.22%,77.78%,22.22%,0.00%,11.11%,22,0.00%,54.55%,45.45%
14848,Antonio Ootesey,Arkansas-Pine Bluff ,2009,Jr,4,0.00%,25.00%,50.00%,25.00%,0.00%,1,0.00%,100.00%,0.00%
14854,Ricky Parks,Arkansas-Pine Bluff ,2009,Jr,10,30.00%,60.00%,20.00%,20.00%,10.00%,15,20.00%,26.67%,53.33%
14846,Allen Smith,Arkansas-Pine Bluff ,2009,Jr,64,26.56%,53.13%,20.31%,25.00%,7.81%,51,7.84%,58.82%,33.33%
14860,Terry Tidwell,Arkansas-Pine Bluff ,2009,Fr,1,0.00%,0.00%,0.00%,100.00%,0.00%,4,0.00%,75.00%,25.00%
14855,Savalace Townsend,Arkansas-Pine Bluff ,2009,So,48,25.00%,43.75%,27.08%,29.17%,8.33%,66,6.06%,37.88%,56.06%
14857,Tavaris Washington,Arkansas-Pine Bluff ,2009,Sr,65,24.62%,41.54%,20.00%,38.46%,3.08%,89,3.37%,44.94%,51.69%
14853,Lebaron Weathers,Arkansas-Pine Bluff ,2009,Sr,18,27.78%,55.56%,27.78%,16.67%,0.00%,56,10.71%,48.21%,41.07%
4550,Martavius Adams,Arkansas State ,2009,So,20,45.00%,60.00%,5.00%,35.00%,15.00%,67,10.45%,49.25%,40.30%
19725,Rashad Allison,Arkansas State ,2009,Jr,127,48.03%,38.58%,18.90%,42.52%,12.60%,69,0.00%,60.87%,39.13%
19719,Donald Boone,Arkansas State ,2009,RS-Sr,0,NA,NA,NA,NA,NA,1,0.00%,0.00%,100.00%
5976,JeJuan Brown,Arkansas State ,2009,Jr,12,33.33%,66.67%,16.67%,16.67%,0.00%,29,3.45%,31.03%,65.52%
19718,Daniel Bryant,Arkansas State ,2009,So,28,42.86%,64.29%,10.71%,25.00%,14.29%,39,2.56%,51.28%,46.15%
19721,Justin Butler,Arkansas State ,2009,Jr,7,14.29%,28.57%,28.57%,42.86%,0.00%,6,16.67%,50.00%,33.33%
19726,Trey Finn,Arkansas State ,2009,Fr,58,34.48%,43.10%,15.52%,41.38%,12.07%,51,7.84%,60.78%,31.37%
19724,Michael Lance,Arkansas State ,2009,Sr,5,20.00%,20.00%,0.00%,80.00%,0.00%,2,0.00%,50.00%,50.00%
19716,Brandon Peterson,Arkansas State ,2009,Fr,43,11.63%,62.79%,18.60%,18.60%,9.30%,53,13.21%,47.17%,39.62%
19717,Brandon Reed,Arkansas State ,2009,Fr,76,34.21%,56.58%,17.11%,26.32%,13.16%,76,2.63%,55.26%,42.11%
19715,Adam Sterrenberg,Arkansas State ,2009,Fr,15,26.67%,33.33%,13.33%,53.33%,6.67%,11,0.00%,81.82%,18.18%
19720,Jeremy Thomas,Arkansas State ,2009,Jr,15,13.33%,26.67%,6.67%,66.67%,6.67%,19,5.26%,36.84%,57.89%
5539,Marcus Britt,Arkansas,2009,Jr,44,13.64%,56.82%,6.82%,36.36%,18.18%,24,0.00%,70.83%,29.17%
5536,Glenn Bryant,Arkansas,2009,Fr,7,0.00%,85.71%,0.00%,14.29%,28.57%,8,12.50%,50.00%,37.50%
5543,Rotnei Clarke,Arkansas,2009,So,37,35.14%,43.24%,24.32%,32.43%,18.92%,36,5.56%,52.78%,41.67%
